"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"8","1","8","1","","0","0","0","0","0","0"
"7","1","3","1","","0","0","0","0","0","0"
"6","1","4","2","","0","0","0","0","0","0"
"4","1","3","1","","0","0","0","0","0","0"
"2","1","6","1","","0","0","0","0","0","0"
"1","1","4","2","","0","3","0","0","0","0"
"14","1","5","2","","0","0","0","0","0","0"
"13","1","9","1","","0","0","0","0","0","0"
"16","1","5","2","","0","0","0","0","0","0"
"11","1","6","2","","0","0","0","0","0","0"
"10","1","7","2","","0","0","0","0","0","0"
"9","1","9","3","","0","0","0","0","0","0"
"8","1","5","0","","0","0","0","0","0","0"
"7","1","4","1","","0","0","0","0","0","0"
"6","1","6","0","","0","0","0","0","0","0"
"5","1","8","5","","0","0","0","0","0","0"
"4","1","8","1","","0","0","0","0","0","0"
"3","1","9","4","","0","0","0","0","0","0"
"2","1","4","0","","0","0","0","0","0","0"
"1","1","4","1","","0","0","0","0","0","0"
"","1","4","1","","0","0","0","0","0","0"
"13","1","7","3","","0","0","0","0","0","0"
"1","1","5","2","","0","0","0","0","0","0"
"6","1","5","2","","0","0","0","0","0","0"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","1","","","","","","","","",""
