"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"12","9","6","0","0","0","0","0","0","0","0"
"13","9","6","1","0","0","0","0","0","0","0"
"14","9","7","2","0","0","0","0","0","0","0"
"15","9","4","2","0","0","0","0","0","0","0"
"6","9","5","2","0","0","1","0","0","0","0"
"1","27","5","2","0","0","0","0","0","0","0"
"2","27","4","0","0","0","1","0","0","0","0"
"3","27","6","1","0","0","0","0","0","0","0"
"4","27","7","2","0","0","0","0","1","0","0"
"5","27","4","2","0","0","0","0","1","0","0"
"6","27","2","1","0","0","1","0","0","0","0"
"7","27","6","3","0","0","0","0","0","0","0"
"8","27","6","3","0","0","0","0","0","0","0"
"9","27","4","0","0","0","0","0","0","0","0"
"10","27","4","2","0","0","0","0","0","0","0"
"11","27","6","2","0","0","0","0","0","0","0"
"12","27","5","2","0","0","0","0","0","0","0"
"13","27","7","2","0","0","0","0","0","0","0"
"14","27","3","1","0","0","0","0","0","0","0"
"15","27","6","2","0","0","0","0","0","0","0"
"16","27","6","3","0","0","0","0","0","0","0"
