"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"10","13","6","0","0","0","0","0","0","0","0"
"9","13","10","0","0","0","0","0","0","0","0"
"8","13","7","0","0","0","1","0","0","0","0"
"7","13","6","3","0","0","0","0","0","0","0"
"6","13","5","0","0","0","0","0","0","0","0"
"5","13","10","1","0","0","0","0","0","0","0"
"4","13","3","1","0","0","0","0","0","0","0"
"3","13","6","1","0","0","0","0","0","0","0"
"2","13","5","0","0","0","1","0","0","0","0"
"1","13","5","2","0","0","0","0","1","0","0"
"20","17","4","2","0","0","0","0","0","0","0"
"19","17","7","1","0","0","0","0","0","0","0"
"18","17","8","2","0","0","0","0","0","0","0"
"17","17","6","3","0","0","0","0","0","0","0"
"16","17","4","0","0","0","0","0","0","0","0"
"15","17","4","1","0","0","0","0","0","0","0"
"14","17","4","0","0","0","0","0","0","0","0"
"13","17","6","3","0","0","0","0","0","0","0"
"12","17","7","3","0","0","0","0","0","0","0"
"11","17","9","2","0","0","0","0","0","0","0"
"9","17","3","1","0","0","0","0","0","0","0"
"8","17","4","2","0","0","0","0","0","0","0"
"7","17","3","1","0","0","0","0","0","0","0"
"6","17","7","3","0","0","0","0","0","0","0"
"5","17","3","1","0","0","0","0","0","0","0"
"4","17","3","0","0","0","0","0","0","0","0"
"3","17","6","2","0","0","0","0","0","0","0"
"2","17","4","2","0","0","0","0","0","0","0"
"1","17","17","8","3","1","0","0","0","0","0"
"20","18","3","0","0","0","0","0","0","0","0"
"19","18","4","1","0","0","0","0","0","0","0"
"18","18","5","2","0","0","0","0","1","0","0"
"17","18","10","1","0","0","1","0","0","0","0"
"16","18","5","1","0","0","0","0","0","0","0"
"15","18","6","2","0","0","0","0","0","0","0"
"14","18","3","0","0","0","0","0","0","0","0"
"13","18","5","0","0","0","0","0","0","0","0"
"12","18","9","1","0","0","0","0","0","0","0"
"11","18","8","0","1","0","0","0","0","0","0"
"10","18","9","2","0","0","0","0","1","0","0"
"9","18","7","4","0","0","0","0","0","0","0"
"8","18","4","1","0","0","0","0","0","0","0"
"7","18","9","0","0","0","0","0","0","0","0"
"6","18","6","2","0","0","0","0","0","0","0"
"5","18","6","2","0","0","0","0","0","0","0"
"4","18","6","1","0","0","2","0","1","0","0"
"3","18","5","1","0","0","0","0","1","0","0"
"2","18","10","0","0","0","0","0","0","0","0"
"1","18","2","1","0","0","0","0","0","0","0"
"20","19","2","1","0","0","0","0","0","0","0"
"19","19","3","1","0","0","0","0","0","0","0"
"18","19","7","0","0","0","0","0","0","0","0"
"17","19","2","1","0","0","0","0","0","0","0"
"16","19","4","2","0","0","0","0","0","0","0"
"15","19","4","2","0","0","0","0","0","0","0"
"14","19","8","3","0","0","0","0","0","0","0"
"13","19","6","3","0","0","0","0","0","0","0"
"12","19","5","1","0","0","0","0","1","0","0"
"11","19","5","1","0","0","0","0","0","0","0"
"10","19","7","2","0","0","0","0","0","0","0"
"9","19","12","2","0","0","0","0","0","0","0"
"8","19","2","1","0","0","0","0","0","0","0"
"7","19","5","2","0","0","0","0","0","0","0"
"6","19","6","3","1","0","0","0","0","0","0"
"5","19","7","1","0","0","0","0","0","0","0"
"4","19","6","0","0","0","0","0","0","0","0"
"3","19","4","2","0","0","0","0","0","0","0"
"2","19","5","2","0","0","0","0","0","0","0"
"1","19","3","1","0","0","0","0","0","0","0"
"20","20","3","0","0","0","0","0","0","0","0"
"19","20","5","1","0","0","0","0","0","0","1"
"18","20","5","2","0","0","0","0","0","0","0"
"17","20","7","0","0","0","0","0","0","0","0"
"16","20","7","1","0","0","0","0","0","0","0"
"15","20","10","1","0","0","0","0","0","0","0"
"14","20","5","0","0","0","0","0","0","0","0"
"13","20","9","1","0","0","0","0","0","0","0"
"12","20","5","1","0","0","0","0","0","0","0"
"11","20","9","1","0","0","0","0","0","0","0"
"10","20","7","0","0","0","0","0","0","0","0"
"9","20","9","2","0","0","0","0","0","0","0"
"8","20","5","1","0","0","0","0","0","0","0"
"7","20","5","0","0","0","0","0","0","0","0"
"6","20","11","2","0","0","0","0","0","0","0"
"5","20","5","2","0","0","0","0","0","0","0"
"4","20","8","0","0","0","0","0","0","0","0"
"3","20","8","1","0","0","0","0","0","0","0"
"2","20","2","0","0","0","0","0","0","0","0"
"1","20","9","2","0","0","1","0","0","0","0"
"20","7","12","2","0","0","0","0","0","0","0"
"19","7","10","0","0","0","0","0","0","0","0"
"18","7","8","2","0","0","0","0","0","0","0"
"17","7","7","0","0","0","0","0","0","0","0"
"16","7","7","2","1","0","0","0","0","0","0"
"15","7","6","3","0","0","0","0","0","0","0"
"14","7","6","2","0","0","0","0","0","0","0"
"13","7","7","1","0","0","0","0","0","0","0"
"12","7","3","0","0","0","0","0","0","0","0"
"11","7","4","1","0","0","0","0","0","0","0"
"10","7","4","2","0","0","0","0","0","0","0"
"9","7","7","0","0","0","0","0","0","0","0"
"8","7","5","2","0","0","0","0","0","0","0"
"7","7","9","0","0","0","0","0","0","0","0"
