"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"5","6","5","1","0","0","0","0","0","0","0"
"4","6","6","3","0","0","0","0","0","0","0"
"3","6","4","2","0","0","0","0","0","0","0"
"2","6","10","2","0","0","0","0","0","0","0"
"1","6","5","2","0","0","0","0","0","0","0"
"1","7","9","3","0","0","0","0","0","0","0"
"2","7","9","2","0","0","0","0","0","0","0"
"3","7","4","2","0","0","0","0","0","0","0"
"4","7","12","3","0","0","0","0","0","0","0"
"5","7","5","0","0","0","0","0","0","0","0"
"6","7","6","2","0","0","0","0","0","0","0"
"7","7","3","1","0","0","0","0","0","0","0"
"8","7","8","3","0","0","0","0","0","0","0"
"9","7","8","2","0","0","0","0","0","0","0"
"10","7","8","4","0","0","0","0","0","0","0"
"11","7","3","2","0","0","0","0","0","0","0"
"12","7","6","2","0","0","0","0","0","0","0"
"13","7","7","3","0","0","0","0","0","0","0"
"14","7","9","3","0","0","0","0","0","0","0"
"15","7","4","2","0","0","0","0","0","0","0"
"16","7","6","3","0","0","0","0","0","0","0"
"17","7","6","2","0","0","0","0","0","0","0"
"17","8","2","0","0","0","2","0","0","0","0"
"16","8","5","1","0","0","0","0","0","0","0"
"15","8","6","2","0","0","0","0","0","0","0"
"14","8","7","2","0","0","0","0","0","0","0"
"13","8","6","2","0","0","0","0","0","0","0"
"12","8","7","1","0","0","0","0","0","0","0"
"11","8","4","2","0","0","0","0","0","0","0"
"10","8","4","2","0","0","0","0","0","0","0"
"11","8","5","0","0","0","0","0","0","0","0"
"8","8","3","1","0","0","0","0","0","0","0"
"7","8","2","0","0","0","0","0","0","0","0"
"6","8","7","2","0","0","0","0","0","0","0"
"5","8","6","3","0","0","1","0","0","0","0"
"4","8","4","0","0","0","0","0","0","0","0"
"3","8","6","1","0","0","0","0","0","0","0"
"2","8","9","4","0","0","0","0","0","0","0"
"1","8","12","3","0","0","0","0","1","0","0"
"15","9","3","0","0","0","0","0","0","0","0"
"14","9","11","1","0","0","0","0","0","0","0"
"13","9","7","2","0","0","0","0","0","0","0"
"11","9","2","0","0","0","0","0","0","0","0"
"12","9","8","2","0","0","0","0","0","0","0"
"10","9","6","1","0","0","1","0","0","0","0"
"8","9","11","3","0","0","0","0","0","0","0"
"9","9","7","2","0","0","0","0","0","0","0"
"7","9","7","2","0","0","1","0","0","0","0"
"6","9","7","2","0","0","0","0","0","0","0"
"5","9","4","0","0","0","0","0","0","0","0"
"4","9","8","2","0","0","0","0","0","0","0"
"3","9","6","2","0","0","1","0","0","0","0"
"2","9","6","0","0","0","0","0","0","0","0"
"1","9","6","2","0","0","0","0","0","0","0"
"16","9","2","1","0","0","0","0","0","0","0"
"17","9","6","1","0","0","0","0","0","0","0"
"17","10","6","3","0","0","0","0","0","1","1"
"15","10","3","2","0","0","0","0","0","0","0"
"15","10","5","0","0","0","0","0","0","0","0"
"14","10","3","1","0","0","0","0","0","0","0"
"13","10","6","3","0","0","0","0","0","0","0"
"12","10","2","0","0","0","0","0","0","0","0"
"11","10","4","1","0","0","0","0","0","0","0"
"10","10","4","0","0","0","1","0","0","0","0"
"9","10","4","1","0","0","0","0","0","0","0"
"8","10","6","1","0","0","0","0","0","0","0"
"7","10","8","3","0","0","0","0","0","0","0"
"6","10","7","3","0","0","1","0","0","0","0"
"5","10","6","3","0","0","0","0","0","0","0"
"4","10","6","2","0","0","0","0","0","0","0"
"3","10","4","0","0","0","0","0","0","0","0"
"2","10","6","1","0","0","0","0","0","0","0"
"1","10","5","1","0","0","0","0","0","0","0"
"1","11","7","1","0","0","0","0","0","0","0"
"2","11","8","2","0","0","0","0","0","0","0"
"3","11","6","3","0","0","0","0","0","0","0"
"4","11","6","2","0","0","0","0","0","0","0"
"5","11","10","4","0","0","0","0","1","0","0"
"6","11","4","1","0","0","0","0","0","0","0"
"7","11","0","0","0","0","0","0","0","0","0"
"8","11","7","2","0","0","0","0","0","0","0"
"9","11","7","0","0","0","0","0","0","0","0"
"10","11","8","0","0","0","0","0","0","0","0"
"11","11","12","1","0","0","1","0","0","0","0"
"12","11","9","3","0","0","0","0","0","0","0"
"13","11","8","2","0","0","0","0","0","0","0"
"14","11","8","3","0","0","0","0","0","0","0"
"15","11","4","0","0","0","0","0","0","0","0"
"16","11","6","1","0","0","0","0","0","0","0"
"17","11","3","0","0","0","0","0","0","0","0"
"1","12","4","2","0","0","0","0","0","0","0"
"2","12","6","1","0","0","0","0","0","0","0"
"3","12","3","1","0","0","0","0","0","0","0"
"4","12","9","3","0","0","0","0","0","0","0"
"5","12","6","2","0","0","1","0","0","0","0"
"6","12","6","2","0","0","0","0","0","0","0"
"7","12","3","1","0","0","0","0","0","0","0"
"8","12","7","3","0","0","1","0","0","0","0"
"9","12","4","2","0","0","0","0","0","0","0"
"10","12","5","3","0","0","0","0","0","0","0"
"11","12","5","1","0","0","1","0","0","0","0"
"12","12","6","0","0","0","0","0","0","0","0"
"13","12","3","1","0","0","0","0","0","0","0"
"14","12","7","2","0","0","0","0","0","0","0"
"15","12","2","0","0","0","0","0","0","0","0"
"16","12","5","1","0","0","0","0","0","0","0"
"17","12","7","2","0","0","0","0","0","0","0"
"1","13","7","2","0","0","0","0","1","0","0"
"2","13","7","2","0","0","0","0","1","0","0"
"3","13","7","2","0","0","1","0","0","0","0"
"4","13","6","1","0","0","0","0","0","0","0"
"6","13","5","1","0","0","0","0","0","0","0"
"5","13","6","0","0","0","0","0","0","0","0"
"7","13","10","1","0","0","0","0","0","0","0"
"8","13","7","3","0","0","0","0","0","0","0"
"9","13","5","3","0","0","0","0","0","0","0"
"10","13","6","3","0","0","0","0","0","0","0"
"11","13","4","2","0","0","0","0","0","0","0"
"12","13","6","3","0","0","1","0","0","0","0"
"13","13","3","0","0","0","0","0","0","0","0"
"14","13","2","0","0","0","4","0","0","0","0"
"15","13","7","4","0","0","0","0","1","0","0"
"16","13","3","1","0","0","0","0","0","0","0"
"17","13","0","0","0","0","0","0","0","0","0"
"1","14","9","2","0","0","0","0","0","0","0"
"2","14","10","3","0","0","0","0","0","0","0"
"3","14","3","1","0","0","0","0","1","0","0"
"4","14","4","2","0","0","0","0","0","0","0"
"5","14","6","2","0","0","0","0","0","0","0"
"6","14","10","3","0","0","0","0","0","0","0"
"7","14","3","1","0","0","0","0","0","1","0"
"8","14","2","0","0","0","0","0","0","0","0"
"9","14","8","1","0","0","0","0","0","0","0"
"10","14","5","1","0","0","0","0","0","0","0"
"11","14","5","2","0","0","0","0","0","0","0"
"12","14","3","1","0","0","0","0","0","0","0"
"13","14","4","3","0","0","0","0","0","0","0"
"14","14","11","3","0","0","0","0","0","0","0"
"15","14","6","2","0","0","0","0","0","0","0"
"16","14","9","2","0","0","0","0","0","0","0"
"17","14","6","3","0","0","0","0","0","0","0"
"17","15","5","0","0","0","0","0","0","0","0"
"16","15","6","2","0","0","0","0","0","0","0"
"14","15","7","2","0","0","0","0","0","0","0"
"13","15","3","1","0","0","0","0","0","0","0"
"12","15","7","3","0","0","0","0","0","0","0"
"10","15","5","1","0","0","0","0","0","0","0"
"11","15","7","2","0","0","0","0","0","0","0"
"9","15","6","1","0","0","0","0","0","0","0"
"8","15","5","1","0","0","0","0","0","0","0"
"7","15","3","2","0","0","0","0","0","0","0"
"6","15","5","2","0","0","0","0","0","0","0"
"5","15","4","2","0","0","0","0","0","0","0"
"4","15","4","2","0","0","0","0","0","0","0"
"3","15","4","2","0","0","0","0","0","0","0"
"2","15","7","3","0","0","0","0","0","0","0"
"1","15","5","1","0","0","0","0","0","0","0"
"15","15","6","2","0","0","0","0","0","0","0"
"17","16","10","3","0","0","0","0","0","0","0"
"16","16","3","1","0","0","0","0","0","0","0"
"15","16","4","0","0","0","0","0","0","0","0"
"14","16","8","2","0","0","0","0","0","0","0"
"13","16","3","1","0","0","0","0","0","0","0"
"12","16","4","0","0","0","0","0","0","0","0"
"11","16","10","2","0","0","0","0","0","0","0"
"10","16","4","2","0","0","0","0","0","0","0"
"9","16","6","2","0","0","0","0","0","0","0"
"8","16","7","3","0","0","0","0","0","0","0"
"7","16","4","1","0","0","0","0","0","0","0"
"6","16","4","1","0","0","0","0","0","0","0"
"5","16","7","3","0","0","0","0","0","0","0"
"4","16","6","2","0","0","0","0","0","0","0"
"3","16","4","2","0","0","0","0","0","0","0"
"2","16","7","3","0","0","0","0","0","0","0"
"1","16","3","1","0","0","0","0","0","0","0"
"16","17","6","2","0","0","0","0","0","0","0"
"15","17","5","3","0","0","0","0","0","0","0"
"14","17","5","2","0","0","0","0","0","0","0"
"13","17","4","2","0","0","0","0","0","0","0"
"12","17","4","2","0","0","0","0","0","0","0"
"11","17","7","2","0","0","0","0","0","0","0"
"10","17","5","2","0","0","0","0","0","0","0"
"9","17","6","2","0","0","0","0","0","0","0"
"8","17","4","2","0","0","0","0","0","0","0"
"7","17","5","3","0","0","0","0","0","0","0"
"6","17","4","2","0","0","0","0","0","0","0"
"5","17","4","2","0","0","0","0","0","0","0"
"4","17","4","2","0","0","0","0","0","0","0"
"3","17","8","2","0","0","0","0","0","0","0"
"2","17","6","2","0","0","0","0","0","0","0"
"1","17","8","2","0","0","0","0","0","0","0"
"17","17","5","3","0","0","0","0","0","0","0"
"17","18","4","0","0","0","0","0","0","0","0"
"16","18","4","1","0","0","0","0","0","0","0"
"15","18","6","2","0","0","0","0","0","0","0"
"14","18","4","1","0","0","0","0","0","0","0"
"13","18","4","1","0","0","0","0","0","0","0"
"12","18","3","0","0","0","0","0","0","0","0"
"11","18","4","2","0","0","0","0","0","0","0"
"10","18","5","1","0","0","0","0","0","0","0"
"8","18","7","2","0","0","0","0","0","0","0"
"9","18","4","2","0","0","0","0","0","0","0"
"7","18","5","2","0","0","0","0","0","0","0"
"6","18","3","2","0","0","0","0","0","0","0"
"5","18","4","2","0","0","0","0","0","0","0"
"4","18","6","2","0","0","0","0","0","0","0"
"3","18","5","1","0","0","0","0","0","0","0"
"2","18","4","2","0","0","0","0","0","0","0"
"1","18","4","2","0","0","0","0","0","0","0"
"17","19","4","0","0","0","0","0","0","0","0"
"16","19","5","1","0","0","1","0","0","0","0"
"15","19","3","1","0","0","0","0","0","0","0"
"14","19","4","1","0","0","0","0","0","0","0"
"13","19","5","2","0","0","0","0","0","0","0"
"12","19","6","2","0","0","0","0","0","0","0"
"11","19","8","2","0","0","0","0","0","0","0"
"10","19","5","2","0","0","0","0","0","0","0"
"9","19","3","0","0","0","0","0","0","0","0"
"8","19","4","2","0","0","0","0","0","0","0"
"7","19","4","1","0","0","0","0","0","0","0"
"6","19","8","1","0","0","0","0","0","0","0"
"5","19","7","2","0","0","0","0","0","0","0"
"4","19","4","2","0","0","0","0","0","0","0"
"5","19","8","1","0","0","0","0","0","0","0"
"2","19","5","1","0","0","0","0","0","0","0"
"1","19","6","3","0","0","0","0","0","0","0"
