"settlements","nb_cluster","district","lhz"
"aarag","1","baydhaba","bay"
"afwiini","2","baydhaba","bay"
"balash","3","baydhaba","bay"
"barkadlewiin","4","buurhakaba","bay"
"boonkaay","5","buurhakaba","bay"
"buulobarako","7","baydhaba","bay"
"buulofuur","8","baydhaba","bay"
"buuloyuusuf","10","baydhaba","bay"
"carragaduud","RC","baydhaba","bay"
"deynunaymainvillage","11","baydhaba","bay"
"dulanta","12","qansaxdheere","bay"
"gomorey","14","buurhakaba","bay"
"goorisine","15","baydhaba","bay"
"gurbaan","16","diinsoor","bay"
"hasli","17","baydhaba","bay"
"hereerasin","RC","diinsoor","bay"
"kashiidoow","19","baydhaba","bay"
"kerowmalaaq","20","baydhaba","bay"
"kurman","21","diinsoor","bay"
"labaatanjirow","22","baydhaba","bay"
"lughabar","23","buurhakaba","bay"
"maarankawiin","24","baydhaba","bay"
"makuudo","25","baydhaba","bay"
"moorobuus","26","baydhaba","bay"
"raxiimo","RC","baydhaba","bay"
"samakayeddi","28","buurhakaba","bay"
"tugaarhoosle","29","diinsoor","bay"
"weellowi","30","buurhakaba","bay"
