"settlements","nb_cluster","district","lhz"
"cilaamo","2","ceelafweyn","eastgolis"
"dagaar","3","ceerigaabo","eastgolis"
"dayaxa","4","ceerigaabo","eastgolis"
"dubad","5","ceerigaabo","eastgolis"
"garabkarid","6","ceerigaabo","eastgolis"
"goob","7","ceerigaabo","eastgolis"
"hadaaftimo","8,9","ceerigaabo","eastgolis"
"hundegaal","10","ceerigaabo","eastgolis"
"jiidali","RC","ceerigaabo","eastgolis"
"kulmiye","11","ceerigaabo","eastgolis"
"laanqiciyesatellite","RC","ceerigaabo","eastgolis"
"laasasurad","12","ceerigaabo","eastgolis"
"madarmoge","13","ceerigaabo","eastgolis"
"maydh","14","ceerigaabo","eastgolis"
"midigale","15","laasqoray","eastgolis"
"ragcadeeye","RC","ceerigaabo","eastgolis"
"ruguda","16","ceerigaabo","eastgolis"
"shumoxshumox","17","ceerigaabo","eastgolis"
"xabow","18","ceerigaabo","eastgolis"
"xiis","RC","ceerigaabo","eastgolis"
"ufeyn","20","bossaso","eastgolis"
"baargaal","21","iskushuban","eastgolis"
"balidhidin","22","qandala","eastgolis"
"bareeda","23","caluula","eastgolis"
"damo","25","caluula","eastgolis"
"geesaley","26","caluula","eastgolis"
"kalaale","27","caluula","eastgolis"
"muudiye","28,29","iskushuban","eastgolis"
"sayn","30","caluula","eastgolis"
"tuulociise","31","qandala","eastgolis"
"xarago","32","qandala","eastgolis"
