"settlements","nb_cluster","district","lhz"
"aroosow","1","luuq","riverine"
"banmunduli","RC","luuq","riverine"
"bantaal","2,3,4","doolow","riverine"
"boore","5","doolow","riverine"
"geedweynesectin","6,7,8","doolow","riverine"
"haanoy","9","luuq","riverine"
"halbow","10,11,12","luuq","riverine"
"halbow","13,14","luuq","riverine"
"helishiid","15","luuq","riverine"
"miradhuubow","18","luuq","riverine"
"odaa","RC,19","doolow","riverine"
"shadiiley","20,21,22,23","luuq","riverine"
"surgaduud","RC","doolow","riverine"
"unaa","24","doolow","riverine"
"wariiriyaale","26,27","luuq","riverine"
"haadfuul","28","doolow","riverine"
