"settlements","nb_cluster","district","lhz"
"camuud","1","borama","nw"
"goroyocawl","2","borama","nw"
"jarahorato","3","borama","nw"
"magaalocad","4","borama","nw"
"ruqi","RC","baki","nw"
"boodhley","5","gebiley","nw"
"qoyta","6","togdheer","nw"
"agamsahahoose","7","gebiley","nw"
"awbarkhadle","8","hargeysa","nw"
"boodhley","9","gebiley","nw"
"botor","10","gebiley","nw"
"carromadow","11","hargeysa","nw"
"dacarbudhuq","RC","hargeysa","nw"
"fadhixun","12","hargeysa","nw"
"galooley","13","togdheer","nw"
"geedabeera","14","hargeysa","nw"
"godkacarada","15","gebiley","nw"
"gogaysaupper","RC","gebiley","nw"
"goray","16","gebiley","nw"
"huluuq","17","gebiley","nw"
"ijaara","18","gebiley","nw"
"ilkaweyne","19","gebiley","nw"
"jidhigabiley","20","gebiley","nw"
"kalabaydh","21","gebiley","nw"
"laaca","22","gebiley","nw"
"laftafarawayne","23","hargeysa","nw"
"magaalokuul","24","hargeysa","nw"
"matan","25","gebiley","nw"
"sanlawebari","26","gebiley","nw"
"tuurka","27","gebiley","nw"
"ugaadhyahan","28,29","gebiley","nw"
"xareed","RC","hargeysa","nw"
"arabsiyo","30","gebiley","nw"
