"settlements","nb_cluster","district","lhz"
"carto","2","bossaso","nip"
"dawacaaley","3","iskushuban","nip"
"dhuudo","4","bandarbeyla","nip"
"guudcad","5","qardho","nip"
"jeedaal","RC","qardho","nip"
"kobdhexaad","6","bossaso","nip"
"meygaag","7","qardho","nip"
"qormobuurcad","8","qardho","nip"
"rako","9,10,11","qardho","nip"
"sheerbi","12,RC","qardho","nip"
"uusgure","13","qardho","nip"
"xaajikhayr","14","qardho","nip"
"xiddo","15,16","qardho","nip"
"xiriiro","17,18","iskushuban","nip"
"xumbays","19","qardho","nip"
"kalis","26","garoowe","nip"
"qarxis","27,RC","eyl","nip"
"sinujif","28,29","garoowe","nip"
"baqbaq","30","bandarbeyla","nip"
