"settlements","nb_cluster","district","lhz"
"ceelileedsatellite","1","ceerigaabo","eastgolis"
"cirshiidasatellite","2","ceerigaabo","eastgolis"
"dagaar","3","ceerigaabo","eastgolis"
"dhaxamo","4","ceerigaabo","eastgolis"
"galooldheer","5","ceerigaabo","eastgolis"
"gudmobiyocas","7","ceelafweyn","eastgolis"
"hadaaftimo","8","ceerigaabo","eastgolis"
"haldhaagan","9","ceerigaabo","eastgolis"
"illad","10","ceelafweyn","eastgolis"
"laanqiciyesatellite","12","ceerigaabo","eastgolis"
"laasasurad","13","ceerigaabo","eastgolis"
"laasasurad","14","ceerigaabo","eastgolis"
"masagan","RC","ceerigaabo","eastgolis"
"midigale","15","laasqoray","eastgolis"
"qoralahe","16","ceerigaabo","eastgolis"
"rugay","17","ceerigaabo","eastgolis"
"shalcaw","18","ceelafweyn","eastgolis"
"waqdariya","RC","ceerigaabo","eastgolis"
"xarshaw","19","ceerigaabo","eastgolis"
"xubeera","20","laasqoray","eastgolis"
"afkalahaye","21","caluula","eastgolis"
"baargaal","RC,22","iskushuban","eastgolis"
"balidhidin","23","qandala","eastgolis"
"butiyaalo","24","qandala","eastgolis"
"ceelquud","25","caluula","eastgolis"
"gaatiroodan","RC","qandala","eastgolis"
"gumbah","26","iskushuban","eastgolis"
"laag","27","bossaso","eastgolis"
"muudiye","28,29","iskushuban","eastgolis"
"talamoge","30","caluula","eastgolis"
"xammure","31","bossaso","eastgolis"
"xoogaad","32","caluula","eastgolis"
