"settlements","nb_cluster","district","lhz"
"aabaraka","1","baydhaba","bay"
"aawdiinle","RC","baydhaba","bay"
"awle","2","baydhaba","bay"
"banyari","3","buurhakaba","bay"
"biderey","4","diinsoor","bay"
"boorweel","5","baydhaba","bay"
"buulobakaaro","6","baydhaba","bay"
"buulocaday","7","diinsoor","bay"
"buulogaras","8","baydhaba","bay"
"buulobisiq","9","baydhaba","bay"
"caliyowmuumin","RC","baydhaba","bay"
"deggomor","10","diinsoor","bay"
"doodaale","11","buurhakaba","bay"
"foolfeyle","12","baydhaba","bay"
"godka","RC","buurhakaba","bay"
"goofdhuubow","13","baydhaba","bay"
"gubti","14","buurhakaba","bay"
"hariirka","15","baydhaba","bay"
"haween","16","baydhaba","bay"
"idadkoble","17","diinsoor","bay"
"jiiromadsheeg","18","baydhaba","bay"
"kerowmalaaq","19","baydhaba","bay"
"korunbod","20","qansaxdheere","bay"
"laantigaraska","21","baydhaba","bay"
"lawiiley","22","buurhakaba","bay"
"maaranka","23","baydhaba","bay"
"madisagaari","24","baydhaba","bay"
"mintani","25","baydhaba","bay"
"oore","26","baydhaba","bay"
"raaxoole","RC","diinsoor","bay"
"roobay","27","baydhaba","bay"
"shiidkuus","28","qansaxdheere","bay"
"umurowyare","29","buurhakaba","bay"
