"settlements","nb_cluster","district","lhz"
"baaltaag","1","cabudwaaq","hawd"
"booso","2","cabudwaaq","hawd"
"galmaygaag","3","cabudwaaq","hawd"
"huurshe","4","cabudwaaq","hawd"
"mirjicle","RC","cabudwaaq","hawd"
"raamaale","5","goldogob","hawd"
"cadakibir","7","cadaado","hawd"
"iidoole","9","cadaado","hawd"
"dabare","10","dhuusamarreeb","hawd"
"godinlabe","11","dhuusamarreeb","hawd"
"mareerguur","12","dhuusamarreeb","hawd"
"salaxdhadhaab","13","dhuusamarreeb","hawd"
"bacaadweyn","14","galdogob","hawd"
"bandiidley","15","gaalkacyo","hawd"
"bursaalax","16","galdogob","hawd"
"cadaygabgabo","17","gaalkacyo","hawd"
"ceelberde","18","gaalkacyo","hawd"
"faratooyada","19","gaalkacyo","hawd"
"heema","20","gaalkacyo","hawd"
"sadaxhiglo","22","gaalkacyo","hawd"
"tuloqorax","RC","gaalkacyo","hawd"
"xarfo","23","gaalkacyo","hawd"
"bacadweyn","RC","eyl","hawd"
"dheganle","24","burtinle","hawd"
"faratoogo","25","burtinle","hawd"
"hayanle","26","burtinle","hawd"
"jalam","RC","burtinle","hawd"
"libaaxo","27","burtinle","hawd"
"mayle","28","burtinle","hawd"
"raydable","29","burtinle","hawd"
"sallax","30","burtinle","hawd"
"xamur","31","burtinle","hawd"
