"settlements","nb_cluster","district","lhz"
"dilla","1","borama","nw"
"ishagudban","2","gebiley","nw"
"magaalaqalooc","3","borama","nw"
"ruqi","4","baki","nw"
"boodhley","5","gebiley","nw"
"qoyta","6","togdheer","nw"
"agamsahasare","RC","gebiley","nw"
"boodhka","7","gebiley","nw"
"boqor","8","gebiley","nw"
"cabdisamad","9","hargeysa","nw"
"dacarbudhuq","10","hargeysa","nw"
"diinigoobaale","11","hargeysa","nw"
"galoolay","12","gebiley","nw"
"garbohaadley","13","gebiley","nw"
"godkacarada","14","gebiley","nw"
"gogeysa","15","gebiley","nw"
"goray","RC","gebiley","nw"
"huluuq","16","gebiley","nw"
"ijaara","17","gebiley","nw"
"ilmadedo","RC","gebiley","nw"
"jufa","18","gebiley","nw"
"korjin","19","gebiley","nw"
"laayo","20","gebiley","nw"
"magaaloxoosh","21","hargeysa","nw"
"matan","22","gebiley","nw"
"sanlawebari","23","gebiley","nw"
"udaan","24","hargeysa","nw"
"ugaadhyahan","25","gebiley","nw"
"waalidxoor","26","gebiley","nw"
"xuunshaley","27","gebiley","nw"
"arabsiyo","28","gebiley","nw"
