"settlements","nb_cluster","district","lhz"
"bandub","RC","diinsoor","bay"
"barakow","1","diinsoor","bay"
"beledamin","2,RC","qansaxdheere","bay"
"birigay","3","qansaxdheere","bay"
"buulocaday","4","diinsoor","bay"
"buulofuur","5,6","baydhaba","bay"
"buulomasaajid","7","qansaxdheere","bay"
"deggomor","8","diinsoor","bay"
"gararta","10","qansaxdheere","bay"
"gurbaan","11","diinsoor","bay"
"hareerijiroon","12","qansaxdheere","bay"
"hereemede","13","diinsoor","bay"
"ibdowkuusow","14","diinsoor","bay"
"jafaay","16","diinsoor","bay"
"juqda","17","qansaxdheere","bay"
"korunbod","18","qansaxdheere","bay"
"kurman","19","diinsoor","bay"
"rascade","RC","diinsoor","bay"
"towsilibee","22","qansaxdheere","bay"
"tuuladajameecabunbeega","23","qansaxdheere","bay"
"xabiibayaal","24","diinsoor","bay"
"bakalka","25","diinsoor","bay"
"bandhumi","RC","diinsoor","bay"
"bureymanas","26","diinsoor","bay"
"buulofuur","27","baydhaba","bay"
"dharqa","30","diinsoor","bay"
"garasfur","31","diinsoor","bay"
"maalimiinta","32","diinsoor","bay"
"qodqod","33","diinsoor","bay"
"waryeroy","34","baydhaba","bay"
"yaaqbaraway","35","diinsoor","bay"
