"settlements","nb_cluster","district","lhz"
"abaasedhadheer","1","borama","westgolis"
"aliheley","2","borama","westgolis"
"boon","3","borama","westgolis"
"carawayne","4","baki","westgolis"
"dhagaxamadow","6","borama","westgolis"
"qabuurta","RC","baki","westgolis"
"quud","8","baki","westgolis"
"xalimaale","9","borama","westgolis"
"xariirad","10","borama","westgolis"
"calaacule","11","sheikh","westgolis"
"kaldhadhaab","12","sheikh","westgolis"
"suuqsade","13","sheikh","westgolis"
"agabar","RC","gebiley","westgolis"
"balligacas","14","hargeysa","westgolis"
"caadda","15","gebiley","westgolis"
"darasalaam","16","hargeysa","westgolis"
"debbis","17","hargeysa","westgolis"
"dheenta","18","hargeysa","westgolis"
"dooxoguban","RC","hargeysa","westgolis"
"garbodheere","19","hargeysa","westgolis"
"geeddeeble","20","hargeysa","westgolis"
"illintabari","21","hargeysa","westgolis"
"jaleelo","22","hargeysa","westgolis"
"laasodawaco","23","berbera","westgolis"
"madheera","24","hargeysa","westgolis"
"maqaaxidainantabari","25","hargeysa","westgolis"
"saclamood","26","gebiley","westgolis"
"xumbaweyne","28","hargeysa","westgolis"
