"settlements","nb_cluster","district","lhz"
"boobdheere","RC","cabudwaaq","hawd"
"dhabad","1","cabudwaaq","hawd"
"goodwiil","2","cabudwaaq","hawd"
"lasxadow","3","cabudwaaq","hawd"
"oodaale","4","cabudwaaq","hawd"
"xananburo","5","cabudwaaq","hawd"
"xinjilab","6","cabudwaaq","hawd"
"gidhays","8","cadaado","hawd"
"godinlabe","10","dhuusamarreeb","hawd"
"mareerguur","11,12","dhuusamarreeb","hawd"
"afweyn","13","gaalkacyo","hawd"
"bayra","RC","galdogob","hawd"
"bursaalax","15","galdogob","hawd"
"caracaso","16","jariiban","hawd"
"gowlalo","18","gaalkacyo","hawd"
"roox","20","galdogob","hawd"
"sadaxhiglo","21","gaalkacyo","hawd"
"xarfo","RC","gaalkacyo","hawd"
"birtadheer","23","garoowe","hawd"
"dogob","24","burtinle","hawd"
"hayanle","25","burtinle","hawd"
"jalam","26","burtinle","hawd"
"kalabayr","27","burtinle","hawd"
"mayle","RC","burtinle","hawd"
"qalanqal","28","burtinle","hawd"
"sallax","29","burtinle","hawd"
"xamxamaa","31","garoowe","hawd"
"yoonbays","32","burtinle","hawd"
