"settlements","nb_cluster","district","lhz"
"afruugleey","1","iskushuban","deeh"
"dhuur","2","bandarbeyla","deeh"
"falfalax","3","bandarbeyla","deeh"
"foocaar","4","iskushuban","deeh"
"fundhucdule","5","bandarbeyla","deeh"
"garmaal","6","bandarbeyla","deeh"
"gumbax","7","iskushuban","deeh"
"hurdiya","8","iskushuban","deeh"
"kabal","9","bandarbeyla","deeh"
"kulule","10","bandarbeyla","deeh"
"qundhed","11","bari","deeh"
"suuj","RC","bandarbeyla","deeh"
"xaafuun","12","iskushuban","coastal"
"dhinawdadhigdhigley","13,14,15","jariiban","deeh"
"doomariyo","16","jariiban","deeh"
"ilfoocshe","21","jariiban","deeh"
"kulub","22,23","jariiban","deeh"
"maraya","24","eyl","deeh"
"buq","25","eyl","deeh"
"dhinowda","26","eyl","deeh"
"illig","27","eyl","deeh"
"kabaalwaq","28","eyl","deeh"
"qoryaale","RC","eyl","deeh"
