"settlements","nb_cluster","district","lhz"
"cilmijawle","2","cabudwaaq","hawd"
"galmaygaag","3","cabudwaaq","hawd"
"laanle","4","cabudwaaq","hawd"
"olol","5","cabudwaaq","hawd"
"xananburo","6","cabudwaaq","hawd"
"xinjilab","7","cabudwaaq","hawd"
"dayaano","8","cadaado","hawd"
"gidhays","9","cadaado","hawd"
"godinlabe","11","dhuusamarreeb","hawd"
"mareerguur","RC,12","dhuusamarreeb","hawd"
"afweyn","RC","gaalkacyo","hawd"
"bayra","13","galdogob","hawd"
"bursaalax","14","galdogob","hawd"
"caracaso","15","jariiban","hawd"
"ceelberde","16","gaalkacyo","hawd"
"khuuriley","18","jariiban","hawd"
"roox","19","galdogob","hawd"
"sadaxhiglo","20","gaalkacyo","hawd"
"xarfo","21","gaalkacyo","hawd"
"birtadheer","23","garoowe","hawd"
"dogob","24","burtinle","hawd"
"hayanle","25","burtinle","hawd"
"jalam","26","burtinle","hawd"
"kalabayr","27","burtinle","hawd"
"mayle","28","burtinle","hawd"
"qalanqal","RC","burtinle","hawd"
"sallax","29","burtinle","hawd"
"xamxamaa","31","garoowe","hawd"
