"settlements","nb_cluster","district","lhz"
"aarag","1","baydhaba","bay"
"afaryag","2","baydhaba","bay"
"bakalla","3","baydhaba","bay"
"barariya","RC","buurhakaba","bay"
"boonkaay","RC","buurhakaba","bay"
"burdhijisyarey","4","buurhakaba","bay"
"buulobarako","5","baydhaba","bay"
"buulofulaay","6","baydhaba","bay"
"buulomadbaadhil","7","baydhaba","bay"
"buulotarniil","RC","baydhaba","bay"
"carragaduud","8","baydhaba","bay"
"deynunaymainvillage","9","baydhaba","bay"
"doweelow","10","baydhaba","bay"
"galooldheere","11","buurhakaba","bay"
"gomorey","12","buurhakaba","bay"
"goorisine","RC","baydhaba","bay"
"gurbaan","13","diinsoor","bay"
"hasli","14","baydhaba","bay"
"hayaado","15","baydhaba","bay"
"kafangooy","17","baydhaba","bay"
"kerowmalaaq","18","baydhaba","bay"
"kurman","19","diinsoor","bay"
"laantigaraska","20","baydhaba","bay"
"lughabar","21","buurhakaba","bay"
"maaranka","22","baydhaba","bay"
"makuudo","23","baydhaba","bay"
"moodamooda","24","baydhaba","bay"
"qariib","25","qansaxdheere","bay"
"rascade","26","diinsoor","bay"
"samakayeddi","27","buurhakaba","bay"
"tugaarhoosle","28","diinsoor","bay"
"warisaaq","29","baydhaba","bay"
"bahwaley","30","baydhaba","bay"
"bontafuroy","31","baydhaba","bay"
"buulofuur","32","baydhaba","bay"
"dooygaab","33","buurhakaba","bay"
"lamowarood","34","diinsoor","bay"
"waabdoore","36","diinsoor","bay"
