"settlements","nb_cluster","district","lhz"
"dhabad","2","cabudwaaq","hawd"
"huurshe","3","cabudwaaq","hawd"
"mirjicle","4","cabudwaaq","hawd"
"raamaale","5","goldogob","hawd"
"bandiiradleey","RC","cadaado","hawd"
"iidoole","7","cadaado","hawd"
"gadoon","8","dhuusamarreeb","hawd"
"mareerguur","9,10","dhuusamarreeb","hawd"
"afweyn","11","gaalkacyo","hawd"
"cadaygabgabo","14","gaalkacyo","hawd"
"ceelberde","15","gaalkacyo","hawd"
"khuuriley","16","jariiban","hawd"
"roox","17","galdogob","hawd"
"tarocasso","18","gaalkacyo","hawd"
"xarfo","19","gaalkacyo","hawd"
"bacadweyn","20","eyl","hawd"
"dhoobacanutug","21","eyl","hawd"
"hayanle","22","burtinle","hawd"
"jalam","23","burtinle","hawd"
"kalabayr","24","burtinle","hawd"
"mayle","25","burtinle","hawd"
"raydable","RC","burtinle","hawd"
"sallax","26","burtinle","hawd"
"xamur","27","burtinle","hawd"
