"settlements","nb_cluster","district","lhz"
"bulacle","1","dhuusamarreeb","addun"
"elder","2","dhuusamarreeb","addun"
"galbarwaaqosaxqurun","3","cadaado","addun"
"sinadhaga","4","dhuusamarreeb","addun"
"wargalo","5","cadaado","addun"
"xincaws","6","ceelbuur","addun"
"afbarwaaqo","7","hobyo","addun"
"ballibusle","8,9,10","gaalkacyo","addun"
"bandiiraaley","RC","hobyo","addun"
"bitaale","11","hobyo","addun"
"buubi","RC","gaalkacyo","addun"
"ceelguula","12","hobyo","addun"
"celxagar","13,14","jariiban","addun"
"docol","15,16","gaalkacyo","addun"
"gacnofale","RC","gaalkacyo","addun"
"galgorum","17","hobyo","addun"
"qorile","18","gaalkacyo","addun"
"gillabrugis","19","hobyo","addun"
"lebilamaane","20","jariiban","addun"
"madlooyin","21","jariiban","addun"
"semade","23","jariiban","addun"
"tawfiiq","24","jariiban","addun"
"dhiganle","25","eyl","addun"
