"settlements","nb_cluster","district","lhz"
"aboow","1","luuq","riverine"
"aroosow","2","luuq","riverine"
"bantaal","3,4,5,6","doolow","riverine"
"boore","7","doolow","riverine"
"geedweynesectin","8,9,10","doolow","riverine"
"haanoy","11","luuq","riverine"
"halbow","12,RC","luuq","riverine"
"halbow","13,14","luuq","riverine"
"helishiid","15","luuq","riverine"
"karantiil","16","luuq","riverine"
"madhoweey","18","luuq","riverine"
"miradhuubow","19","luuq","riverine"
"odaa","20","doolow","riverine"
"saadhuumaay","21","doolow","riverine"
"shadiiley","RC,22,23","luuq","riverine"
"surgaduud","24,25","doolow","riverine"
"warcilaan","RC","luuq","riverine"
"wariiriyaale","27","luuq","riverine"
"haadfuul","28","doolow","riverine"
