"settlements","nb_cluster","district","lhz"
"ardo","1","cadaado","addun"
"elder","3","dhuusamarreeb","addun"
"galbarwaaqosaxqurun","4","cadaado","addun"
"marsamage","5","cadaado","addun"
"wargalo","6","cadaado","addun"
"warshubo","7","ceelbuur","addun"
"xincaws","8,9","ceelbuur","addun"
"bajeelo","10","hobyo","addun"
"ballibusle","11,RC","gaalkacyo","addun"
"bitaale","12","hobyo","addun"
"bohol","13","gaalkacyo","addun"
"carfuuda","14","gaalkacyo","addun"
"ceelguula","15","hobyo","addun"
"celxagar","RC,16","jariiban","addun"
"dagaari","17","gaalkacyo","addun"
"docol","18,19","gaalkacyo","addun"
"elgorei","20","hobyo","addun"
"faaraxgeedi","21","gaalkacyo","addun"
"qorile","22,23","gaalkacyo","addun"
"gillabrugis","24","hobyo","addun"
"laasocadale","RC","gaalkacyo","addun"
"lebilamaane","25","jariiban","addun"
"mareer","26","jariiban","addun"
"semade","28","jariiban","addun"
"tawfiiq","29","jariiban","addun"
"xaaro","30","hobyo","addun"
"godbalayskutumay","31","eyl","addun"
