"settlements","nb_cluster","district","lhz"
"aawdiinle","1","baydhaba","bay"
"ashagow","2","baydhaba","bay"
"barariya","RC","buurhakaba","bay"
"boorweel","3","baydhaba","bay"
"buulobakaaro","4","baydhaba","bay"
"buulofuur","RC","baydhaba","bay"
"buulowarta","5","baydhaba","bay"
"caliyowmarayle","6","baydhaba","bay"
"deynunaymainvillage","7","baydhaba","bay"
"dudumiya","8","buurhakaba","bay"
"garasbuule","9","buurhakaba","bay"
"goofdhuubow","10","baydhaba","bay"
"gumurow","11","baydhaba","bay"
"hasli","12","baydhaba","bay"
"hoodoyreerawmalinebd","13","buurhakaba","bay"
"jamaaca","14","diinsoor","bay"
"kerowmalaaq","15","baydhaba","bay"
"kurman","16","diinsoor","bay"
"labaatanjirow","RC","baydhaba","bay"
"maadinlay","17","baydhaba","bay"
"madisagaari","18","baydhaba","bay"
"moodamooda","19","baydhaba","bay"
"raydaba","21","buurhakaba","bay"
"shibelle","22","buurhakaba","bay"
