"settlements","nb_cluster","district","lhz"
"aarag","1","baydhaba","bay"
"ajin","2","buurhakaba","bay"
"balmaadi","3","baydhaba","bay"
"barow","4","baydhaba","bay"
"boonkaay","5","buurhakaba","bay"
"buulobarako","7","baydhaba","bay"
"buulofuur","8","baydhaba","bay"
"buulosinqi","9","baydhaba","bay"
"caashafarta","10","baydhaba","bay"
"carragaduud","11","baydhaba","bay"
"deynunaymainvillage","12","baydhaba","bay"
"galooloomani","14","buurhakaba","bay"
"gomorey","15","buurhakaba","bay"
"goorisine","16","baydhaba","bay"
"gurbaan","RC","diinsoor","bay"
"hasli","RC","baydhaba","bay"
"hilowkey","17","buurhakaba","bay"
"kayuugey","RC","baydhaba","bay"
"kidhikooy","19","baydhaba","bay"
"kurman","20","diinsoor","bay"
"labaatanjirow","21","baydhaba","bay"
"lughabar","22","buurhakaba","bay"
"maarankawiin","23","baydhaba","bay"
"makuudo","24","baydhaba","bay"
"moorobuus","25","baydhaba","bay"
"raydaba","27","buurhakaba","bay"
"samakayeddi","28","buurhakaba","bay"
"tugaarhoosle","29","diinsoor","bay"
"weellawi","30","buurhakaba","bay"
"bandhuub","31","diinsoor","bay"
"bootis","32","baydhaba","bay"
"dooygaab","34","buurhakaba","bay"
"madieriin","35","baydhaba","bay"
"moorifaari","RC","diinsoor","bay"
