"settlements","nb_cluster","district","lhz"
"aaminey","1","buurhakaba","bay"
"abagguduud","2","baydhaba","bay"
"awyaale","3","buurhakaba","bay"
"barariya","4","buurhakaba","bay"
"boqolka","6","baydhaba","bay"
"buulobakaaro","7","baydhaba","bay"
"buulocaday","8","diinsoor","bay"
"buulogaduud","10","buurhakaba","bay"
"caliyowmuumin","11","baydhaba","bay"
"deynunaymainvillage","12","baydhaba","bay"
"doodaale","13","buurhakaba","bay"
"gaalyarow","14","baydhaba","bay"
"godka","15","buurhakaba","bay"
"goofdhuubow","16","baydhaba","bay"
"gumurow","17","baydhaba","bay"
"hasli","18","baydhaba","bay"
"hayaado","19","baydhaba","bay"
"idadkoble","20","diinsoor","bay"
"juqda","RC","qansaxdheere","bay"
"kerowmalaaq","21","baydhaba","bay"
"kurman","22","diinsoor","bay"
"laantigaraska","RC","baydhaba","bay"
"lowibuul","23","baydhaba","bay"
"maaranka","24","baydhaba","bay"
"maguurta","25","baydhaba","bay"
"moodamooda","26","baydhaba","bay"
"oroshi","27","baydhaba","bay"
"raaxoole","28","diinsoor","bay"
"salmisga","29","buurhakaba","bay"
"shimbiroole","30","diinsoor","bay"
"wafdheyweyn","31","buurhakaba","bay"
"kodoloob","32","buurhakaba","bay"
"bontafuroy","33","baydhaba","bay"
"dharqa","34","diinsoor","bay"
"koronbood","RC","diinsoor","bay"
"sabiyo","36","baydhaba","bay"
