"settlements","nb_cluster","district","lhz"
"cilaamo","RC","ceelafweyn","eastgolis"
"dagaar","2","ceerigaabo","eastgolis"
"dayaxa","RC","ceerigaabo","eastgolis"
"dubad","3","ceerigaabo","eastgolis"
"gudmahadlesatellite","5","ceerigaabo","eastgolis"
"hadaaftimo","6,7","ceerigaabo","eastgolis"
"illad","8","ceelafweyn","eastgolis"
"kulmiye","10","ceerigaabo","eastgolis"
"laasxuluys","RC","laasqoray","eastgolis"
"laasasurad","RC","ceerigaabo","eastgolis"
"madarmugle","11","ceerigaabo","eastgolis"
"midhasi","12","ceerigaabo","eastgolis"
"mushxaleed","13","laasqoray","eastgolis"
"raqassatellite","14","ceelafweyn","eastgolis"
"rukuuda","15","ceelafweyn","eastgolis"
"ulxeed","16","laasqoray","eastgolis"
"xamaas","17","ceerigaabo","eastgolis"
"xiis","18","ceerigaabo","eastgolis"
"ufeyn","20","bossaso","eastgolis"
"baargaal","21","iskushuban","eastgolis"
"balidhidin","22","qandala","eastgolis"
"barxa","23","caluula","eastgolis"
"ceellaas","24","caluula","eastgolis"
"dibir","25","caluula","eastgolis"
"geesoqabad","26","bossaso","eastgolis"
"muudiye","28,29","iskushuban","eastgolis"
"shebaab","30","qandala","eastgolis"
"tuurmasale","31","qandala","eastgolis"
"xijijle","32","qandala","eastgolis"
