"settlements","nb_cluster","district","lhz"
"afruugleey","1","iskushuban","deeh"
"dhariinbaar","2","bandarbeyla","deeh"
"dhuur","3","bandarbeyla","deeh"
"falfalax","4","bandarbeyla","deeh"
"foocaar","5,6","iskushuban","deeh"
"garmaal","7,RC","bandarbeyla","deeh"
"gumbax","8","iskushuban","deeh"
"handa","9","iskushuban","deeh"
"hurdiya","10","iskushuban","deeh"
"kabal","11","bandarbeyla","deeh"
"kulule","12","bandarbeyla","deeh"
"qundhed","13,14","bari","deeh"
"suuj","15","bandarbeyla","deeh"
"xaafuun","16","iskushuban","coastal"
"dhinawdadhigdhigley","17","jariiban","deeh"
"doomariyo","18","jariiban","deeh"
"ilfoocshe","19","jariiban","deeh"
"kulub","20,21,22","jariiban","deeh"
"maraya","23","eyl","deeh"
"dhalinraqas","RC","eyl","deeh"
"dhinowda","25","eyl","deeh"
"garabhar","26","eyl","deeh"
"jifle","27","eyl","deeh"
"kabaalwaq","28","eyl","deeh"
"qulule","RC","eyl","deeh"
