"settlements","nb_cluster","district","lhz"
"bariisle","1","zeylac","guban"
"caashacaddo","2","zeylac","guban"
"carowareen","3","borama","guban"
"dabodilaac","6","borama","guban"
"fardalaguxidh","7","lughaye","guban"
"fiqiaadan","8","borama","guban"
"geerisa","9","lughaye","guban"
"hadayta","RC","baki","guban"
"hadhwanaag","10","lughaye","guban"
"heemaaldheere","11","zeylac","guban"
"karuure","12","lughaye","guban"
"lawyacaddo","RC","zeylac","guban"
"lughaye","13","lughaye","guban"
"sheikhawaare","14,15","zeylac","guban"
"waraabood","16","zeylac","guban"
"xussein","17","lughaye","guban"
"zeylac","18","zeylac","guban"
"ceelsheekh","RC","berbera","guban"
"geeri","22","berbera","guban"
"sheeddheer","23","baki","guban"
"gargaara","26","baki","guban"
"hulka","27","baki","guban"
"beeyokulul","28","hargeysa","guban"
"beeyodhaadheer","32","berbera","guban"
