"settlements","nb_cluster","district","lhz"
"camuud","1","borama","nw"
"goroyocawl","2","borama","nw"
"jarahorato","3","borama","nw"
"magaalocad","4","borama","nw"
"tulli","5","borama","nw"
"ceelxumo","6","oodweyne","nw"
"abaarso","7","hargeysa","nw"
"annayo","RC","hargeysa","nw"
"boodhley","8","gebiley","nw"
"boqor","9","gebiley","nw"
"carromadow","10","hargeysa","nw"
"dacarbudhuq","11","hargeysa","nw"
"fadhixun","12","hargeysa","nw"
"galooley","13","togdheer","nw"
"geedballaadh","14","gebiley","nw"
"gogaysa","15","gebiley","nw"
"golgolwanaag","16","hargeysa","nw"
"guricad","17","gebiley","nw"
"idhankajufadi","RC","gebiley","nw"
"ijiwaaji","18","gebiley","nw"
"jidhigabiley","19","gebiley","nw"
"kalabaydh","20","gebiley","nw"
"laaca","21","gebiley","nw"
"laftafarawayne","22","hargeysa","nw"
"mashruucatogwajaale","23","gebiley","nw"
"qabridhaweel","24","gebiley","nw"
"satiile","25","gebiley","nw"
"udan","26","hargeysa","nw"
"ugaadhyahan","RC","gebiley","nw"
"xaraf","27","hargeysa","nw"
"arabsiyo","28","gebiley","nw"
