"settlements","nb_cluster","district","lhz"
"abuqays","1","borama","nw"
"dilla","RC","borama","nw"
"hindhaysa","2","borama","nw"
"jirjir","3","borama","nw"
"magaalocad","4","borama","nw"
"sheikhhuways","5","borama","nw"
"beerato","6","oodweyne","nw"
"qoyta","8","togdheer","nw"
"agamsahahoose","10","gebiley","nw"
"awbarkhadle","11","hargeysa","nw"
"boodhley","12","gebiley","nw"
"boqor","RC","gebiley","nw"
"caroyanbo","13","hargeysa","nw"
"daymoxun","14","hargeysa","nw"
"fadhixun","15","hargeysa","nw"
"galooley","RC","togdheer","nw"
"garbohaadley","16","gebiley","nw"
"gobdheer","17","hargeysa","nw"
"goray","19","gebiley","nw"
"habaasweyn","20","hargeysa","nw"
"idhankajufadi","21","gebiley","nw"
"ijaara","RC","gebiley","nw"
"ilkaweyne","22","gebiley","nw"
"jidhigabiley","23","gebiley","nw"
"kalabaydh","24","gebiley","nw"
"korjin","25","gebiley","nw"
"laalays","26","hargeysa","nw"
"laftafarawayne","27","hargeysa","nw"
"magaaloxoosh","28","hargeysa","nw"
"matan","29","gebiley","nw"
"qaloocan","30","hargeysa","nw"
"satiile","31","gebiley","nw"
"udaan","32","hargeysa","nw"
"ugaadhyahan","33","gebiley","nw"
"xagal","34","hargeysa","northwest"
"xirsijiciir","35","gebiley","nw"
"arabsiyo","36","gebiley","nw"
