"settlements","nb_cluster","district","lhz"
"bulacle","1","dhuusamarreeb","addun"
"elder","2,3","dhuusamarreeb","addun"
"marsamage","4","cadaado","addun"
"wargalo","5","cadaado","addun"
"xincaws","RC,6","ceelbuur","addun"
"afbulo","7","hobyo","addun"
"ballibusle","8,RC","gaalkacyo","addun"
"bitaale","9","hobyo","addun"
"buubi","10","gaalkacyo","addun"
"ceeldibir","11","hobyo","addun"
"celxagar","13","jariiban","addun"
"dagaari","14","gaalkacyo","addun"
"docol","RC,15","gaalkacyo","addun"
"gacnofale","16","gaalkacyo","addun"
"galgorum","17","hobyo","addun"
"qorile","18,19","gaalkacyo","addun"
"laasocadale","20","gaalkacyo","addun"
"madlooyin","21","jariiban","addun"
"semade","23","jariiban","addun"
"tawfiiq","24","jariiban","addun"
"xaaro","25","hobyo","addun"
"godbalayskutumay","26","eyl","addun"
