"settlements","nb_cluster","district","lhz"
"camuud","1","borama","nw"
"goroyocawl","2","borama","nw"
"holhol","3","borama","nw"
"jufogaliiley","4","borama","nw"
"magaalocad","5","borama","nw"
"sheikhhuways","6","borama","nw"
"qoyta","8","togdheer","nw"
"agamsahasare","10","gebiley","nw"
"boodhka","11","gebiley","nw"
"boqoljire","RC","hargeysa","nw"
"botor","12","gebiley","nw"
"carrobaydhay","13","hargeysa","nw"
"dhaboolaq","14","hargeysa","nw"
"fadhixun","15","hargeysa","nw"
"galooley","16","togdheer","nw"
"geedabeera","17","hargeysa","nw"
"gobdheer","18","hargeysa","nw"
"goray","20","gebiley","nw"
"huluuq","RC","gebiley","nw"
"ijaara","21","gebiley","nw"
"ijaarahose","22","gebiley","nw"
"jidhigabiley","24","gebiley","nw"
"kalabaydh","25","gebiley","nw"
"korjin","26","gebiley","nw"
"laalays","27","hargeysa","nw"
"laftatiinka","28","gebiley","nw"
"makaxidainanta","29","hargeysa","nw"
"matan","30","gebiley","nw"
"qoolka","31","gebiley","nw"
"taysa","32","gebiley","nw"
"udan","33","hargeysa","nw"
"ugaadhyahan","34","gebiley","nw"
"xaraf","35","hargeysa","nw"
"xuunshaley","RC","gebiley","nw"
"arabsiyo","36","gebiley","nw"
