"settlements","nb_cluster","district","lhz"
"galmaygaag","3","cabudwaaq","hawd"
"huurshe","4","cabudwaaq","hawd"
"mirjicle","5","cabudwaaq","hawd"
"xananburo","6","cabudwaaq","hawd"
"cadakibir","7","cadaado","hawd"
"galinsoor","8","cadaado","hawd"
"laquraqsay","9","cadaado","hawd"
"gadoon","10","dhuusamarreeb","hawd"
"mareerguur","11,12","dhuusamarreeb","hawd"
"abaarey","13","gaalkacyo","hawd"
"bayra","15","galdogob","hawd"
"bursaalax","16","galdogob","hawd"
"cadaygabgabo","17","gaalkacyo","hawd"
"ceelberde","18","gaalkacyo","hawd"
"khuuriley","20","jariiban","hawd"
"oalaanqale","21","gaalkacyo","hawd"
"sadaxhiglo","RC","gaalkacyo","hawd"
"xarfo","22","gaalkacyo","hawd"
"awrculus","23","burtinle","hawd"
"bacadweyn","24","eyl","hawd"
"hayanle","26","burtinle","hawd"
"jalam","RC","burtinle","hawd"
"kalabayr","27","burtinle","hawd"
"mayle","RC","burtinle","hawd"
"qalanqal","28","burtinle","hawd"
"reemanti","29","burtinle","hawd"
"sallax","30","burtinle","hawd"
"xamur","31","burtinle","hawd"
