"settlements","nb_cluster","district","lhz"
"booso","1","cabudwaaq","hawd"
"dibara","2","cabudwaaq","hawd"
"huurshe","RC","cabudwaaq","hawd"
"mirjicle","3","cabudwaaq","hawd"
"qaradhi","4","cabudwaaq","hawd"
"xinjilab","5","cabudwaaq","hawd"
"dayaano","6","cadaado","hawd"
"gidhays","7","cadaado","hawd"
"godinlabe","8","dhuusamarreeb","hawd"
"mareerguur","9,10","dhuusamarreeb","hawd"
"bacaadweyn","11","galdogob","hawd"
"bandiidley","12","gaalkacyo","hawd"
"beerdhagaxtur","13","gaalkacyo","hawd"
"cadaygabgabo","14","gaalkacyo","hawd"
"ceelberde","15","gaalkacyo","hawd"
"faratooyada","16","gaalkacyo","hawd"
"heema","17","gaalkacyo","hawd"
"sadaxhiglo","19","gaalkacyo","hawd"
"xarfo","20","gaalkacyo","hawd"
"bacadweyn","22","eyl","hawd"
"hayanle","23","burtinle","hawd"
"jalam","24","burtinle","hawd"
"kalabayr","RC","burtinle","hawd"
"mayle","25","burtinle","hawd"
"qalanqal","26","burtinle","hawd"
"sallax","27","burtinle","hawd"
"xamxamaa","29","garoowe","hawd"
"yoonbays","30","burtinle","hawd"
