"settlements","nb_cluster","district","lhz"
"adego","RC","qardho","nip"
"cambaarhoose","1","qardho","nip"
"carto","2","bossaso","nip"
"dharoor","3","iskushuban","nip"
"dhuudo","4","bandarbeyla","nip"
"guudcad","5","qardho","nip"
"jiingadda","6","bossaso","nip"
"lasodawaco","7","bossaso","nip"
"qaararsoor","8","qardho","nip"
"qoton","9","bandarbeyla","nip"
"rako","10,11","qardho","nip"
"sarmaan","12","bandarbeyla","nip"
"sheerbi","13,14","qardho","nip"
"uusgure","RC","qardho","nip"
"xaajikhayr","RC","qardho","nip"
"xiddo","15","qardho","nip"
"xiriiro","16,17,18","iskushuban","nip"
"xumbays","19","qardho","nip"
"aftugweyne","21","eyl","nip"
"rabaable","26","burtinle","hawd"
"qarxis","28","eyl","nip"
"siigadheer","29","garoowe","nip"
"sinujif","30,RC","garoowe","nip"
