"settlements","nb_cluster","district","lhz"
"ardo","1","cadaado","addun"
"elder","RC,3","dhuusamarreeb","addun"
"marsamage","4","cadaado","addun"
"wargalo","5","cadaado","addun"
"warshubo","6","ceelbuur","addun"
"xincaws","7,8","ceelbuur","addun"
"bajeelo","9","hobyo","addun"
"ballibusle","10,11","gaalkacyo","addun"
"bitaale","RC","hobyo","addun"
"bohol","12","gaalkacyo","addun"
"buubi","RC","gaalkacyo","addun"
"ceelguula","13","hobyo","addun"
"celxagar","15","jariiban","addun"
"dagaari","16","gaalkacyo","addun"
"docol","17,18","gaalkacyo","addun"
"godod","19","gaalkacyo","addun"
"gacnofale","RC","gaalkacyo","addun"
"galgorum","20","hobyo","addun"
"qorile","21,22","gaalkacyo","addun"
"taracaso","23","gaalkacyo","addun"
"lebilamaane","24","jariiban","addun"
"madlooyin","25","jariiban","addun"
"semade","27","jariiban","addun"
"tawfiiq","28,29","jariiban","addun"
"dhiganle","30","eyl","addun"
