"settlements","nb_cluster","district","lhz"
"cadaadkulaale","3","ceelafweyn","nip"
"ceellaqoday","4","laasqoray","nip"
"ceeryaansatellite","5","ceelafweyn","nip"
"dhuurmadare","7","ceerigaabo","nip"
"fadhigaab","8","ceelafweyn","nip"
"gaad","9","ceelafweyn","nip"
"garabad","10","ceerigaabo","nip"
"huluul","11","ceelafweyn","nip"
"kalsheekh","12","ceelafweyn","nip"
"shimbiraale","13","ceerigaabo","nip"
"torabora","14","ceerigaabo","nip"
"canjiid","RC","laascaanood","nip"
"dhummay","16","taleex","nip"
"godoble","17","xudun","nip"
"kalcad","18","taleex","nip"
"oog","19","caynabo","nip"
"sarmaanyo","RC","xudun","nip"
"waridaad","20","caynabo","nip"
"carooley","21","laascanood","nip"
"cambaarsare","22","qardho","nip"
"dawacaaley","23","iskushuban","nip"
"jeedaal","24","qardho","nip"
"qoton","25","bandarbeyla","nip"
"sheerbi","26","qardho","nip"
"xaajikhayr","27","qardho","nip"
"xiriiro","28","iskushuban","nip"
"rabaable","31","burtinle","hawd"
"siigadheer","RC","garoowe","nip"
"baqbaq","32","bandarbeyla","nip"
