"settlements","nb_cluster","district","lhz"
"afruugleey","1","iskushuban","deeh"
"dhariinbaar","2","bandarbeyla","deeh"
"durdura","3","bandarbeyla","deeh"
"falfalax","4","bandarbeyla","deeh"
"foocaar","5","iskushuban","deeh"
"fundhucdule","6","bandarbeyla","deeh"
"garmaal","RC,7","bandarbeyla","deeh"
"gumbax","8","iskushuban","deeh"
"hurdiya","9,10","iskushuban","deeh"
"kabal","11","bandarbeyla","deeh"
"kulule","12","bandarbeyla","deeh"
"qundhed","13,14","bari","deeh"
"suuj","RC","bandarbeyla","deeh"
"xaafuun","15","iskushuban","coastal"
"dhinawdadhigdhigley","16","jariiban","deeh"
"doomariyo","17","jariiban","deeh"
"ilfoocshe","18","jariiban","deeh"
"kulub","19,20,21","jariiban","deeh"
"maraya","22","eyl","deeh"
"dhalinraqas","24","eyl","deeh"
"dhinowda","25","eyl","deeh"
"illig","26","eyl","deeh"
"jifle","27","eyl","deeh"
"kabaalwaq","RC","eyl","deeh"
"qulule","28","eyl","deeh"
