"settlements","nb_cluster","district","lhz"
"cilmijawle","2","cabudwaaq","hawd"
"goodwiil","3","cabudwaaq","hawd"
"lasxadow","4","cabudwaaq","hawd"
"oodaale","5","cabudwaaq","hawd"
"xananburo","6","cabudwaaq","hawd"
"xinjilab","RC","cabudwaaq","hawd"
"dayaano","7","cadaado","hawd"
"gidhays","8","cadaado","hawd"
"godinlabe","9","dhuusamarreeb","hawd"
"mareerguur","RC,10","dhuusamarreeb","hawd"
"afweyn","11","gaalkacyo","hawd"
"bayra","13","galdogob","hawd"
"bursaalax","14","galdogob","hawd"
"caracaso","15","jariiban","hawd"
"khuuriley","18","jariiban","hawd"
"roox","19","galdogob","hawd"
"sadaxhiglo","RC","gaalkacyo","hawd"
"xarfo","20","gaalkacyo","hawd"
"birtadheer","22","garoowe","hawd"
"dogob","23","burtinle","hawd"
"hayanle","24","burtinle","hawd"
"jalam","25","burtinle","hawd"
"kalabayr","26","burtinle","hawd"
"mayle","27","burtinle","hawd"
"qalanqal","28","burtinle","hawd"
"sallax","29","burtinle","hawd"
"xamxamaa","31","garoowe","hawd"
