"pop_source","run","stratum","prop_stay","ret_time","rmse","ll","implausible_pop","implausible_prop_idp"
"pop_afripop_2015",1,"Puntland-Somaliland",0.541669627920026,40.8229567685183,0.214584838743304,-1.38492575205357,0,0.00333982744224882
"pop_afripop_2015",1,"South-Central 1",0.582316721422132,69.1009575777703,0.297807920510822,-6.1937521812616,0.000376931775348662,0.00716170373162458
"pop_afripop_2015",1,"South-Central 2",0.420877934205579,98.0259966600449,0.216876327266956,-2.84576603143943,0,0.0274725274725275
"pop_afripop_2015",2,"Puntland-Somaliland",0.39385214399104,53.8118574560219,0.210040499410966,-1.31553275244,0,0.00333982744224882
"pop_afripop_2015",2,"South-Central 1",0.818538463465637,51.0333813393591,0.330387510560414,-7.91673476886071,0.000753863550697324,0.0294006784771956
"pop_afripop_2015",2,"South-Central 2",0.39872768695117,71.4394690705503,0.201137606569241,-2.40112088177994,0,0.0208791208791209
"pop_afripop_2015",3,"Puntland-Somaliland",0.752756698214915,59.0789372987396,0.253276811713647,-2.11554340359388,0,0.0036506599269868
"pop_afripop_2015",3,"South-Central 1",0.184647579270881,49.865338971758,0.234363425425643,-3.683956564668,0,0.000753863550697324
"pop_afripop_2015",3,"South-Central 2",0.415552866709884,75.7339771520947,0.207142492253097,-2.56881413616179,0,0.0212454212454212
"pop_afripop_2015",4,"Puntland-Somaliland",0.790546204188839,67.2269611583943,0.263183747993564,-2.35613119383216,0,0.0053490990990991
"pop_afripop_2015",4,"South-Central 1",0.637934787146514,32.6039410069303,0.270788207532767,-4.9914525203971,0,0.00226159065209197
"pop_afripop_2015",4,"South-Central 2",0.322185232175514,78.8439080725973,0.201680446193432,-2.42748609018057,0,0.0197802197802198
"pop_afripop_2015",5,"Puntland-Somaliland",0.756877275204053,14.1662200501724,0.226889490654054,-1.58006267154152,0,0.00333148250971682
"pop_afripop_2015",5,"South-Central 1",0.922531806886895,87.1968737022686,0.366340800524137,-10.3887347588119,0.000753863550697324,0.0482472672446287
"pop_afripop_2015",5,"South-Central 2",0.24771864414122,67.2214834093426,0.185295514337214,-2.02835018965862,0,0.0128205128205128
"pop_afripop_2015",6,"Puntland-Somaliland",0.630153199319262,50.5520015078548,0.231959264218831,-1.68116250448353,0,0.00335101926836079
"pop_afripop_2015",6,"South-Central 1",0.813235988711007,23.5557745960245,0.303922707291982,-6.46296867721715,0,0.0226159065209197
"pop_afripop_2015",6,"South-Central 2",0.779721763171488,22.9136570787954,0.214591374427857,-2.74648601593596,0,0.0267399267399267
"pop_afripop_2015",7,"Puntland-Somaliland",0.183075268093264,24.0865743948759,0.247053425268035,-1.72911465798985,0,0.00110711320232494
"pop_afripop_2015",7,"South-Central 1",0.297260987255257,98.1284933584554,0.280021872056553,-5.37288446333833,0,0.00226159065209197
"pop_afripop_2015",7,"South-Central 2",0.245418812131975,35.2747197696993,0.148910304537048,-1.37576689101662,0,0.00402930402930403
"pop_afripop_2015",8,"Puntland-Somaliland",0.188266561890254,21.4536864518719,0.254039863382703,-1.81988330525356,0,0.00304287690179806
"pop_afripop_2015",8,"South-Central 1",0.861665067448281,59.7501372336305,0.344433183676819,-8.74876490839309,0.000753863550697324,0.0354315868827742
"pop_afripop_2015",8,"South-Central 2",0.68529899356165,37.7916155932937,0.205206418191426,-2.47933007010649,0,0.0241758241758242
"pop_afripop_2015",9,"Puntland-Somaliland",0.680183982217684,81.6034248456738,0.253075885491882,-2.11494500893238,0,0.0036506599269868
"pop_afripop_2015",9,"South-Central 1",0.269307725418126,82.2594704120981,0.269136111193067,-4.9464778787973,0,0.00226159065209197
"pop_afripop_2015",9,"South-Central 2",0.291319176974008,101.780284437406,0.210750652784031,-2.67548947931964,0,0.0230769230769231
"pop_afripop_2015",10,"Puntland-Somaliland",0.580749049329665,25.4278883973486,0.208027420672881,-1.28393810962722,0,0.00333148250971682
"pop_afripop_2015",10,"South-Central 1",0.182493142586434,66.5353652744906,0.247574955286614,-4.12527955025265,0,0.00150772710139465
"pop_afripop_2015",10,"South-Central 2",0.53588395850081,37.3260942670405,0.186156530504898,-2.03174429399185,0,0.0128205128205128
"pop_afripop_2015",11,"Puntland-Somaliland",0.575749165062793,43.4920514169429,0.220339419132289,-1.47768517343875,0,0.00334354973530231
"pop_afripop_2015",11,"South-Central 1",0.827873574555153,35.4557435812852,0.321361218992796,-7.39337969277737,0.000376931775348662,0.024500565397663
"pop_afripop_2015",11,"South-Central 2",0.277034788437653,92.4162984886116,0.203594320793027,-2.47154078743495,0,0.0212454212454212
"pop_afripop_2015",12,"Puntland-Somaliland",0.681322476637084,19.4219465528966,0.216359608801028,-1.4084277485159,0,0.00166574125485841
"pop_afripop_2015",12,"South-Central 1",0.636743955040583,81.0112934064867,0.311816887337656,-6.90414544712422,0.000376931775348662,0.0162080663399925
"pop_afripop_2015",12,"South-Central 2",0.307778529505013,20.6888829112772,0.148721175361224,-1.43023154090953,0,0.00256410256410256
"pop_afripop_2015",13,"Puntland-Somaliland",0.260069395941449,56.9883269223156,0.204887718684575,-1.23693690820122,0,0.00305810397553517
"pop_afripop_2015",13,"South-Central 1",0.151965833969647,75.7719235805259,0.252340683973685,-4.29700576891329,0,0.00188465887674331
"pop_afripop_2015",13,"South-Central 2",0.504043200702639,76.1084314143625,0.212314859092035,-2.70217772938805,0,0.0256410256410256
"pop_afripop_2015",14,"Puntland-Somaliland",0.735655685616191,67.5156143886812,0.256148833438669,-2.18739587762271,0,0.0036506599269868
"pop_afripop_2015",14,"South-Central 1",0.769101727347821,94.0446485710947,0.341092180049506,-8.59692423684758,0.000753863550697324,0.0324161326799849
"pop_afripop_2015",14,"South-Central 2",0.569343035639264,42.6534842029822,0.200991778773543,-2.39768585724613,0,0.0194139194139194
"pop_afripop_2015",15,"Puntland-Somaliland",0.748685603698017,38.9168072919457,0.242332625149571,-1.87802724250042,0,0.00335476656415991
"pop_afripop_2015",15,"South-Central 1",0.321561129462207,62.3551338916021,0.257920421601851,-4.50291413830882,0,0.00188465887674331
"pop_afripop_2015",15,"South-Central 2",0.146518402345944,68.3022874006778,0.177617000954475,-1.87314016332706,0,0.0102564102564103
"pop_afripop_2015",16,"Puntland-Somaliland",0.269824324910529,75.3997774144218,0.211832526349113,-1.3445876842169,0,0.00334354973530231
"pop_afripop_2015",16,"South-Central 1",0.487531377920881,103.07102507707,0.305495922367042,-6.57538590434518,0.000376931775348662,0.0131926121372032
"pop_afripop_2015",16,"South-Central 2",0.345400605601259,92.6739892111297,0.208377265763207,-2.5990089924656,0,0.0234432234432234
