"district","tm","y","m","pop","pop_low","pop_upp","pop_u5","pop_u5_low","pop_u5_upp","pop_u5_alt","prop_idp","dep_rate","arr_rate"
"Owdweyne","1",2013,1,85954,55830,125327,16562,10344,24778,17621,0,0,0
"Qandala","1",2013,1,129217,48138,437288,32570,11860,113198,26490,0,0,0
"Qansax Dheere","1",2013,1,111867,58723,157294,34227,17681,49530,22933,0.0387981016057746,0,0
"Qardho","1",2013,1,154023,83654,249656,40621,21656,66551,31575,0.124383870500627,0,0
"Qoryooley","1",2013,1,257214,198888,301528,62500,47296,74840,52729,0.0372425512633304,0,0
"Rab Dhuure","1",2013,1,53987,36801,80529,13119,8675,19709,11067,0,0,0
"Saakow","1",2013,1,102631,77328,136818,24928,18207,33867,21039,0.0884706941805074,0,0
"Sablaale","1",2013,1,55802,22917,80149,13549,5409,19739,11439,0.0319819119929875,0,0
"Sheikh","1",2013,1,74485,52203,100009,14497,9600,20498,15269,0,0,0
"Taleex","1",2013,1,74349,34939,136732,16663,7353,32143,15242,0,0,0
"Tayeeglow","1",2013,1,89625,72010,106434,21777,16945,26620,18373,0.0977209443510693,0,0
"Waajid","1",2013,1,87576,75566,95804,32573,27869,36038,17953,0.102420366611348,0,0
"Wanla Weyn","1",2013,1,199229,110481,286370,58877,31540,86489,40842,0.126419009467383,0,0
"Xarardheere","1",2013,1,78958,49404,146684,19171,11849,36443,16186,0.245754157108863,0,0
"Xudun","1",2013,1,62054,29708,148280,16313,7517,40264,12721,0,0,0
"Xudur","1",2013,1,116489,106442,124960,36286,32570,39286,23880,0.0440721189205534,0,0
"Zeylac","1",2013,1,60789,46570,75212,13233,9866,16893,12462,0.000902041202506443,0,0
"Adan Yabaal","2",2013,2,73784,36987,118033,17938,8735,29366,15126,0,0,0
"Afgooye","2",2013,2,371526,233645,544850,83476,47858,132505,76163,0.103956691359278,0,0
"Afmadow","2",2013,2,152203,61191,250089,36980,14576,62217,31202,0.0753646281909579,0,0
"Baardheere","2",2013,2,150609,118330,173660,38957,30214,45742,30875,0.101472599874417,0,0
"Badhaadhe","2",2013,2,69082,50112,102577,16795,11952,25601,14162,0.0106754171569046,0,0
"Baki","2",2013,2,64497,35549,94851,13930,7424,21163,13222,0,0,0
"Balcad","2",2013,2,184470,139785,207931,43452,31378,52712,37816,0.104680524467656,0,0
"Banadir","2",2013,2,1625070,1365513,1904216,390634,324687,457296,333139,0.223780330032207,0,0
"Bandarbeyla","2",2013,2,27924,15156,46790,7324,3878,12501,5724,0,0,0
"Baraawe","2",2013,2,81299,70304,106196,19754,16614,26338,16666,0.184139347114775,0,0
"Baydhaba","2",2013,2,374636,309052,468688,107027,86947,135435,76800,0.065476972561841,0,0
"Belet Weyne","2",2013,2,247519,230276,272924,63008,57787,69958,50741,0.137787487938673,0,0
"Belet Xaawo","2",2013,2,80963,73335,85968,17594,15554,19155,16597,0.151110992677618,0,0
"Berbera","2",2013,2,145026,100598,172313,29880,20359,36235,29730,0.00334858142929007,0,0
"Borama","2",2013,2,627598,291635,1493896,132379,60071,321879,128658,0.00014885316644202,0,0
"Bossaso","2",2013,2,366737,107301,586257,91050,26349,147166,75181,0.104349654589197,0,0
"Bu'aale","2",2013,2,92051,76548,106698,22361,18096,26721,18870,0.110102209449894,0,0
"Bulo Burto","2",2013,2,151009,92258,222981,36665,21920,55592,30957,0.069565399113824,0,0
"Burco","2",2013,2,420541,302405,477259,95112,67416,109083,86211,0.0559558157648301,0,0
"Burtinle","2",2013,2,75912,47711,130022,19421,11927,33985,15562,0,0,0
"Buuhoodle","2",2013,2,63779,49463,81988,15092,11062,20748,13075,0,0,0
"Buur Hakaba","2",2013,2,149556,63296,193058,41024,17293,54320,30659,0.0596815539820741,0,0
"Cabudwaaq","2",2013,2,90153,44532,120484,17766,8645,24527,18481,0.119335709682872,0,0
"Cadaado","2",2013,2,86535,38414,126867,19802,8774,29767,17740,0.208348804825701,0,0
"Cadale","2",2013,2,68920,49366,85071,16745,11726,21233,14129,0.0387758539176394,0,0
"Caluula","2",2013,2,47337,43331,51860,10460,9281,11842,9704,0,0,0
"Caynabo","2",2013,2,69897,57839,104717,16617,12934,25791,14329,0.0236898362154145,0,0
"Ceel Afweyn","2",2013,2,85246,32402,117767,18951,7029,26844,17475,0,0,0
"Ceel Barde","2",2013,2,53036,39529,66261,11962,8755,15153,10872,0.0507295046518314,0,0
"Ceel Buur","2",2013,2,97561,64801,138518,23215,14850,34113,20000,0.326395373557266,0,0
"Ceel Dheer","2",2013,2,99060,80517,110264,24107,19125,27610,20307,0.163008611598151,0,0
"Ceel Waaq","2",2013,2,46925,29104,63779,11393,6877,15863,9620,0.216660155185537,0,0
"Ceerigaabo","2",2013,2,202877,77471,291440,41953,15832,61374,41590,0.0039409727791166,0,0
"Dhuusamarreeb","2",2013,2,124679,73962,151559,27436,16167,33554,25559,0.245137015391114,0,0
"Diinsoor","2",2013,2,137065,105079,171259,39634,29644,50452,28098,0.0190335016106935,0,0
"Doolow","2",2013,2,49166,27373,99352,11533,6336,23447,10079,0.188571620243307,0,0
"Eyl","2",2013,2,76486,45114,122680,20806,11987,34077,15680,0,0,0
"Gaalkacyo","2",2013,2,365218,213982,619813,98537,57002,168141,74870,0.119019131838578,0,0
"Galdogob","2",2013,2,150788,47883,416721,38376,11578,110247,30912,0.000247905703159178,0,0
"Garbahaarey","2",2013,2,111677,75336,171999,27139,17745,42555,22894,0.1169529482432,0,0
"Garoowe","2",2013,2,184035,84263,241523,57685,26090,76696,37727,0.03848556669059,0,0
"Gebiley","2",2013,2,127967,104669,148982,26273,21007,30818,26233,0,0,0
"Hargeysa","2",2013,2,979086,796853,1308673,193804,155644,261855,200713,0.0458768152883149,0,0
"Hobyo","2",2013,2,96825,25962,148757,22551,6059,35357,19849,0.101362930156147,0,0
"Iskushuban","2",2013,2,69587,57188,98151,18417,14861,26364,14265,0,0,0
"Jalalaqsi","2",2013,2,88633,39875,144099,21548,9455,36103,18170,0.0620227430796662,0,0
"Jamaame","2",2013,2,144023,95855,178959,35045,22660,44789,29525,0.0714917930745793,0,0
"Jariiban","2",2013,2,88252,52496,118653,22899,13322,31319,18092,0.00109373773017229,0,0
"Jilib","2",2013,2,150635,123394,171149,36579,29149,42862,30880,0.0457590073829463,0,0
"Jowhar","2",2013,2,284331,175337,379451,68639,38754,99110,58288,0.147236799924612,0,0
"Kismaayo","2",2013,2,164121,123916,219309,37156,27855,50386,33645,0.0614481474068811,0,0
"Kurtunwaarey","2",2013,2,199745,96242,280640,48474,22629,68459,40948,0.00567649021757078,0,0
"Laas Caanood","2",2013,2,150146,103203,249681,37615,25559,63383,30780,0.0218584999544464,0,0
"Laasqoray","2",2013,2,191423,50463,363851,42689,10900,83517,39242,0.00041590791261717,0,0
"Lughaye","2",2013,2,68916,46554,98702,15037,9959,22205,14128,0.0779530075583901,0,0
"Luuq","2",2013,2,84449,68197,96800,22042,17475,25756,17312,0.235138963081525,0,0
"Marka","2",2013,2,337376,194138,580301,81939,45738,142063,69162,0.187088688175443,0,0
"Owdweyne","2",2013,2,86094,55922,125532,16590,10361,24818,17649,0,0,0
"Qandala","2",2013,2,129429,48217,438002,32623,11880,113383,26533,0,0,0
"Qansax Dheere","2",2013,2,112050,58819,157551,34283,17710,49610,22970,0.0387959350404212,0,0
"Qardho","2",2013,2,154275,83791,250064,40687,21692,66660,31626,0.124383468581223,0,0
"Qoryooley","2",2013,2,257634,199213,302021,62602,47373,74962,52815,0.0372422357518707,0,0
"Rab Dhuure","2",2013,2,54075,36861,80660,13140,8689,19741,11085,0,0,0
"Saakow","2",2013,2,102799,77455,137042,24969,18237,33922,21074,0.0884764680310655,0,0
"Sablaale","2",2013,2,55893,22954,80280,13571,5418,19771,11458,0.0319776596448755,0,0
"Sheikh","2",2013,2,74607,52288,100172,14521,9616,20531,15294,0,0,0
"Taleex","2",2013,2,74470,34996,136955,16690,7365,32196,15266,0,0,0
"Tayeeglow","2",2013,2,89771,72128,106608,21813,16973,26663,18403,0.0977187995259195,0,0
"Waajid","2",2013,2,87719,75690,95961,32626,27914,36097,17982,0.102421975107188,0,0
"Wanla Weyn","2",2013,2,199555,110662,286838,58973,31592,86630,40909,0.126419473660047,0,0
"Xarardheere","2",2013,2,79087,49484,146923,19202,11869,36503,16213,0.245751243846489,0,0
"Xudun","2",2013,2,62155,29756,148522,16340,7529,40329,12742,0,0,0
"Xudur","2",2013,2,116679,106615,125164,36346,32623,39350,23919,0.0440737003776544,0,0
"Zeylac","2",2013,2,60889,46646,75335,13255,9882,16921,12482,0.000900569867920756,0,0
"Adan Yabaal","3",2013,3,73905,37048,118226,17967,8749,29414,15150,0,0,0
"Afgooye","3",2013,3,372133,234026,545740,83613,47936,132722,76287,0.103955629216372,0,0
"Afmadow","3",2013,3,152452,61291,250497,37040,14600,62318,31253,0.0753648906799134,0,0
"Baardheere","3",2013,3,150854,118523,173943,39021,30263,45816,30925,0.101470229358543,0,0
"Badhaadhe","3",2013,3,69194,50194,102745,16822,11971,25643,14185,0.0106751877387763,0,0
"Baki","3",2013,3,64603,35607,95006,13953,7436,21198,13244,0,0,0
"Balcad","3",2013,3,184772,140013,208270,43523,31429,52798,37878,0.104679866567866,0,0
"Banadir","3",2013,3,1627724,1367744,1907327,391272,325217,458043,333684,0.223780369713109,0,0
"Bandarbeyla","3",2013,3,27970,15180,46867,7335,3885,12522,5734,0,0,0
"Baraawe","3",2013,3,81432,70418,106369,19786,16642,26381,16694,0.184139826133253,0,0
"Baydhaba","3",2013,3,375248,309556,469454,107201,87089,135656,76926,0.065476852352013,0,0
"Belet Weyne","3",2013,3,247923,230652,273370,63111,57881,70072,50824,0.137787843147926,0,0
"Belet Xaawo","3",2013,3,81095,73455,86108,17623,15579,19186,16625,0.151110192670781,0,0
"Berbera","3",2013,3,145262,100762,172594,29929,20392,36294,29779,0.00334763852482535,0,0
"Borama","3",2013,3,628623,292111,1496336,132596,60169,322405,128868,0.000148659088779542,0,0
"Bossaso","3",2013,3,367336,107476,587215,91198,26391,147407,75304,0.104349550225893,0,0
"Bu'aale","3",2013,3,92201,76673,106872,22398,18125,26764,18901,0.110103017358662,0,0
"Bulo Burto","3",2013,3,151255,92408,223345,36725,21956,55683,31007,0.0695640839815676,0,0
"Burco","3",2013,3,421227,302899,478038,95267,67526,109261,86352,0.0559560566181468,0,0
"Burtinle","3",2013,3,76036,47789,130235,19453,11946,34040,15587,0,0,0
"Buuhoodle","3",2013,3,63883,49543,82122,15117,11080,20782,13096,0,0,0
"Buur Hakaba","3",2013,3,149800,63400,193373,41091,17321,54409,30709,0.0596823737109854,0,0
"Cabudwaaq","3",2013,3,90300,44605,120681,17795,8659,24567,18511,0.119338383010589,0,0
"Cadaado","3",2013,3,86676,38477,127074,19834,8788,29815,17769,0.208348199335297,0,0
"Cadale","3",2013,3,69032,49446,85210,16772,11745,21267,14152,0.0387745083796929,0,0
"Caluula","3",2013,3,47414,43402,51945,10477,9296,11861,9720,0,0,0
"Caynabo","3",2013,3,70011,57934,104888,16645,12955,25833,14352,0.0236866111256029,0,0
"Ceel Afweyn","3",2013,3,85386,32455,117959,18982,7040,26888,17504,0,0,0
"Ceel Barde","3",2013,3,53123,39593,66369,11982,8770,15178,10890,0.0507232518892823,0,0
"Ceel Buur","3",2013,3,97721,64907,138744,23253,14874,34168,20033,0.326392416500409,0,0
"Ceel Dheer","3",2013,3,99222,80648,110444,24146,19156,27655,20340,0.16300554513415,0,0
"Ceel Waaq","3",2013,3,47002,29152,63884,11412,6889,15889,9635,0.216657522835334,0,0
