"district","tm","y","m","pop","pop_low","pop_upp","pop_u5","pop_u5_low","pop_u5_upp","pop_u5_alt","prop_idp","dep_rate","arr_rate"
"Borama","26",2015,2,652667,303284,1553570,137630,62522,334484,133797,0.000149706014801478,0,0
"Bossaso","26",2015,2,381387,111587,609676,94665,27431,153059,78184,0.104349578337975,0,0
"Bu'aale","26",2015,2,95728,79606,110960,23268,18842,27882,19624,0.110102672374518,0,0
"Bulo Burto","26",2015,2,157040,95943,231888,38160,22812,57762,32193,0.0695643729953657,0,0
"Burco","26",2015,2,437339,314485,496323,98926,70239,113681,89654,0.0559558386072288,0,0
"Burtinle","26",2015,2,78944,49616,135216,20178,12396,35152,16183,0,0,0
"Buuhoodle","26",2015,2,66326,51438,85264,15707,11466,21466,13597,0,0,0
"Buur Hakaba","26",2015,2,155530,65825,200770,42675,18170,56525,31884,0.0596831519178684,0,0
"Cabudwaaq","26",2015,2,93754,46311,125297,18472,9016,25568,19220,0.119337839308488,0,0
"Cadaado","26",2015,2,89991,39949,131935,20589,9108,31060,18448,0.208347245934439,0,0
"Cadale","26",2015,2,71673,51338,88470,17417,12188,22181,14693,0.0387758356555869,0,0
"Caluula","26",2015,2,49227,45062,53931,10883,9635,12278,10092,0,0,0
"Caynabo","26",2015,2,72689,60150,108900,17235,13427,26634,14901,0.0236912551905838,0,0
"Ceel Afweyn","26",2015,2,88652,33696,122471,19760,7382,28026,18174,0,0,0
"Ceel Barde","26",2015,2,55155,41108,68908,12442,9053,15727,11307,0.0507271198327038,0,0
"Ceel Buur","26",2015,2,101459,67390,144051,24109,15497,35562,20799,0.326393751264659,0,0
"Ceel Dheer","26",2015,2,103017,83733,114668,25024,19939,28666,21118,0.163007398688173,0,0
"Ceel Waaq","26",2015,2,48800,30267,66327,11861,7172,16508,10004,0.216653576156889,0,0
"Ceerigaabo","26",2015,2,210982,80565,303082,43621,16444,63813,43251,0.00394171170010638,0,0
"Dhuusamarreeb","26",2015,2,129660,76916,157613,28533,16875,35035,26580,0.245138593654136,0,0
"Diinsoor","26",2015,2,142540,109277,178100,41247,30755,52467,29221,0.0190334618725875,0,0
"Doolow","26",2015,2,51130,28467,103320,11983,6571,24373,10482,0.18856779437551,0,0
"Eyl","26",2015,2,79542,46916,127580,21618,12469,35361,16306,0,0,0
"Gaalkacyo","26",2015,2,379806,222529,644572,102471,59345,175233,77860,0.119019293592732,0,0
"Galdogob","26",2015,2,156811,49796,433367,39998,12099,114940,32146,0.000245941587494402,0,0
"Garbahaarey","26",2015,2,116138,78345,178870,28226,18509,44249,23808,0.116954815066902,0,0
"Garoowe","26",2015,2,191386,87629,251170,59989,27133,79682,39234,0.0384836417125024,0,0
"Gebiley","26",2015,2,133079,108850,154933,27358,21904,32314,27281,0,0,0
"Hargeysa","26",2015,2,1018196,828684,1360948,201630,161996,271693,208730,0.0458768603493973,0,0
"Hobyo","26",2015,2,100693,26999,154699,23456,6246,36708,20642,0.101361729576282,0,0
"Iskushuban","26",2015,2,72367,59473,102072,19146,15391,27498,14835,0,0,0
"Jalalaqsi","26",2015,2,92174,41468,149855,22381,9808,37458,18896,0.0620243735388017,0,0
"Jamaame","26",2015,2,149777,99684,186108,36384,23483,46434,30704,0.071489256557904,0,0
"Jariiban","26",2015,2,91777,54593,123392,23805,13861,32506,18814,0.001090248418184,0,0
"Jilib","26",2015,2,156653,128323,177986,38047,30304,44793,32114,0.0457576662872166,0,0
"Jowhar","26",2015,2,295689,182341,394608,71313,39833,103540,60616,0.14723661433121,0,0
"Kismaayo","26",2015,2,171458,129346,228799,38820,29105,52510,35149,0.061164061077348,0,0
"Kurtunwaarey","26",2015,2,207724,100087,291851,50510,23623,71578,42583,0.00567668629694209,0,0
"Laas Caanood","26",2015,2,156144,107324,259655,39112,26639,66150,32009,0.0218582139352785,0,0
"Laasqoray","26",2015,2,199069,52478,378385,44418,11402,87090,40809,0.000416098724996823,0,0
"Lughaye","26",2015,2,71669,48414,102645,15652,10310,23115,14692,0.0779547714095988,0,0
"Luuq","26",2015,2,87827,70928,100669,22916,18135,26714,18005,0.23512295612114,0,0
"Marka","26",2015,2,350852,201892,603481,85255,47542,147878,71925,0.18708922947552,0,0
"Owdweyne","26",2015,2,89533,58155,130546,17244,10785,25761,18354,0,0,0
"Qandala","26",2015,2,134598,50143,455499,33934,12280,118303,27593,0,0,0
"Qansax Dheere","26",2015,2,116526,61168,163844,35554,18607,51767,23888,0.0387984427131453,0,0
"Qardho","26",2015,2,160437,87138,260053,42266,22555,69471,32890,0.124382712996957,0,0
"Qoryooley","26",2015,2,267925,207171,314085,65075,49104,77572,54925,0.0372431140397879,0,0
"Rab Dhuure","26",2015,2,56235,38334,83882,13648,9033,20645,11528,0,0,0
"Saakow","26",2015,2,106905,80549,142516,26011,18989,35065,21916,0.0884710057648242,0,0
"Sablaale","26",2015,2,58126,23871,83487,14106,5624,20481,11916,0.0319741777038333,0,0
"Sheikh","26",2015,2,77587,54377,104173,15135,9962,21459,15905,0,0,0
"Taleex","26",2015,2,77445,36394,142426,17383,7586,33709,15876,0,0,0
"Tayeeglow","26",2015,2,93357,75009,110866,22688,17726,27739,19138,0.0977226511572021,0,0
"Waajid","26",2015,2,91223,78713,99794,33930,28828,37462,18701,0.102422783567825,0,0
"Wanla Weyn","26",2015,2,207526,115082,298296,61277,32806,90345,42543,0.126418109960758,0,0
"Xarardheere","26",2015,2,82246,51461,152792,19968,12253,37809,16860,0.245757644038772,0,0
"Xudun","26",2015,2,64638,30945,154455,17029,7781,42028,13251,0,0,0
"Xudur","26",2015,2,121339,110874,130164,37784,33921,40890,24875,0.044070435685822,0,0
"Zeylac","26",2015,2,63321,48510,78344,13780,10247,17585,12981,0.000903206546194322,0,0
"Adan Yabaal","27",2015,3,76857,38528,122948,18648,9107,30486,15756,0,0,0
"Afgooye","27",2015,3,386998,243374,567540,87409,50093,137610,79335,0.103956282430255,0,0
"Afmadow","27",2015,3,158543,63740,260505,38553,15211,64733,32501,0.0753649289787352,0,0
"Baardheere","27",2015,3,156880,123257,180892,40561,31501,47585,32161,0.101471234321628,0,0
"Badhaadhe","27",2015,3,71959,52199,106849,17489,12408,26754,14752,0.0106708940229233,0,0
"Baki","27",2015,3,67183,37029,98801,14503,7741,22042,13773,0,0,0
"Balcad","27",2015,3,192152,145606,216590,45378,32902,54756,39391,0.104679548765687,0,0
"Banadir","27",2015,3,1692905,1422529,1983649,407196,338189,479867,347046,0.223758711477662,0,0
"Bandarbeyla","27",2015,3,29087,15787,48739,7627,4037,13054,5963,0,0,0
"Baraawe","27",2015,3,84685,73231,110618,20575,17369,27514,17360,0.184139706637492,0,0
"Baydhaba","27",2015,3,390294,321990,488257,111451,90858,140959,80010,0.0654660884839938,0,0
"Belet Weyne","27",2015,3,257826,239865,284290,65643,60168,72975,52854,0.137787681483565,0,0
"Belet Xaawo","27",2015,3,84334,76389,89548,18341,16185,19911,17289,0.151109429506539,0,0
"Berbera","27",2015,3,151065,104787,179488,31120,21194,37720,30968,0.00334849295660298,0,0
"Borama","27",2015,3,653733,303779,1556108,137855,62624,335030,134015,0.000149500004315226,0,0
"Bossaso","27",2015,3,382010,111769,610671,94820,27475,153309,78312,0.104350547202883,0,0
"Bu'aale","27",2015,3,95884,79736,111141,23306,18873,27928,19656,0.110102391903215,0,0
"Bulo Burto","27",2015,3,157297,96099,232266,38223,22849,57856,32246,0.0695651814270729,0,0
"Burco","27",2015,3,438053,314998,497133,99087,70353,113867,89801,0.0559559529819776,0,0
"Burtinle","27",2015,3,79073,49697,135437,20211,12417,35209,16210,0,0,0
"Buuhoodle","27",2015,3,66435,51522,85403,15732,11485,21501,13619,0,0,0
"Buur Hakaba","27",2015,3,155784,65932,201097,42745,18200,56617,31936,0.0596815821493736,0,0
"Cabudwaaq","27",2015,3,93907,46387,125501,18502,9031,25609,19251,0.119336059464303,0,0
"Cadaado","27",2015,3,90138,40014,132150,20623,9122,31110,18478,0.208347992431862,0,0
"Cadale","27",2015,3,71790,51421,88614,17445,12208,22217,14717,0.0387735905351813,0,0
"Caluula","27",2015,3,49308,45136,54020,10901,9651,12298,10108,0,0,0
"Caynabo","27",2015,3,72808,60248,109078,17263,13449,26678,14926,0.0236875723128668,0,0
"Ceel Afweyn","27",2015,3,88797,33751,122671,19792,7394,28072,18203,0,0,0
"Ceel Barde","27",2015,3,55245,41175,69020,12462,9068,15753,11325,0.0507311158792041,0,0
"Ceel Buur","27",2015,3,101624,67500,144286,24148,15522,35620,20833,0.326390938415165,0,0
"Ceel Dheer","27",2015,3,103185,83870,114856,25065,19972,28713,21153,0.163006961317224,0,0
"Ceel Waaq","27",2015,3,48880,30316,66435,11880,7183,16535,10020,0.216658587024061,0,0
"Ceerigaabo","27",2015,3,211326,80697,303577,43692,16471,63917,43322,0.00394283730820353,0,0
"Dhuusamarreeb","27",2015,3,129871,77042,157871,28579,16902,35092,26624,0.245138190072264,0,0
"Diinsoor","27",2015,3,142773,109455,178391,41315,30805,52553,29268,0.019031532243447,0,0
"Doolow","27",2015,3,51213,28513,103489,12002,6582,24413,10499,0.188572426763481,0,0
"Eyl","27",2015,3,79672,46993,127788,21654,12489,35419,16333,0,0,0
"Gaalkacyo","27",2015,3,380427,222893,645624,102639,59442,175519,77988,0.119018832346776,0,0
"Galdogob","27",2015,3,157068,49877,434075,40063,12118,115127,32199,0.000245782257077749,0,0
"Garbahaarey","27",2015,3,116328,78473,179162,28272,18539,44321,23847,0.116948788032864,0,0
"Garoowe","27",2015,3,191699,87773,251581,60088,27178,79813,39298,0.0384852419492379,0,0
"Gebiley","27",2015,3,133297,109028,155186,27403,21940,32366,27326,0,0,0
"Hargeysa","27",2015,3,1019859,830038,1363171,201960,162261,272137,209071,0.0458767570164463,0,0
"Hobyo","27",2015,3,100857,27044,154952,23494,6256,36768,20676,0.101361428666792,0,0
"Iskushuban","27",2015,3,72485,59570,102238,19177,15416,27543,14859,0,0,0
"Jalalaqsi","27",2015,3,92324,41535,150099,22418,9824,37519,18926,0.0620221662509396,0,0
"Jamaame","27",2015,3,150021,99847,186412,36444,23522,46510,30754,0.0714907977725706,0,0
"Jariiban","27",2015,3,91927,54682,123594,23844,13884,32559,18845,0.0010933079848652,0,0
"Jilib","27",2015,3,156908,128532,178277,38109,30354,44866,32166,0.0457582138133257,0,0
"Jowhar","27",2015,3,296172,182639,395253,71429,39898,103710,60715,0.147236840970795,0,0
"Kismaayo","27",2015,3,172402,130288,229788,39034,29317,52737,35342,0.0609147325098677,0,0
"Kurtunwaarey","27",2015,3,208063,100250,292328,50592,23662,71695,42653,0.00567749266577116,0,0
"Laas Caanood","27",2015,3,156399,107500,260079,39176,26682,66258,32062,0.0218587218411657,0,0
"Laasqoray","27",2015,3,199394,52564,379003,44490,11420,87233,40876,0.000415515833590296,0,0
"Lughaye","27",2015,3,71786,48493,102812,15678,10327,23152,14716,0.0779559560459108,0,0
"Luuq","27",2015,3,87975,71048,100838,22955,18166,26759,18035,0.235112389342788,0,0
"Marka","27",2015,3,351425,202222,604467,85394,47620,148120,72042,0.187088081660922,0,0
"Owdweyne","27",2015,3,89679,58250,130760,17273,10803,25803,18384,0,0,0
"Qandala","27",2015,3,134818,50224,456243,33989,12300,118497,27638,0,0,0
"Qansax Dheere","27",2015,3,116716,61268,164112,35612,18637,51851,23927,0.0387997672491557,0,0
"Qardho","27",2015,3,160699,87280,260477,42335,22591,69584,32943,0.124383474427608,0,0
"Qoryooley","27",2015,3,268362,207509,314598,65181,49184,77698,55014,0.0372425116322614,0,0
"Rab Dhuure","27",2015,3,56327,38396,84019,13670,9048,20679,11547,0,0,0
"Saakow","27",2015,3,107079,80680,142749,26054,19020,35123,21951,0.0884728612864308,0,0
"Sablaale","27",2015,3,58221,23910,83624,14129,5633,20515,11935,0.031972413324636,0,0
"Sheikh","27",2015,3,77714,54466,104344,15160,9978,21494,15931,0,0,0
"Taleex","27",2015,3,77572,36453,142659,17412,7598,33764,15902,0,0,0
"Tayeeglow","27",2015,3,93510,75132,111047,22725,17755,27784,19170,0.0977213327671161,0,0
"Waajid","27",2015,3,91372,78842,99957,33985,28876,37523,18731,0.102419451863877,0,0
"Wanla Weyn","27",2015,3,207865,115270,298783,61377,32859,90493,42612,0.126417903401009,0,0
"Xarardheere","27",2015,3,82380,51545,153042,20000,12273,37871,16888,0.245755082777502,0,0
"Xudun","27",2015,3,64743,30996,154707,17057,7794,42097,13272,0,0,0
"Xudur","27",2015,3,121538,111055,130377,37846,33977,40957,24915,0.0440702676334273,0,0
"Zeylac","27",2015,3,63424,48589,78472,13803,10263,17614,13002,0.000904461457650384,0,0
"Adan Yabaal","28",2015,4,76983,38591,123149,18679,9122,30536,15781,0,0,0
"Afgooye","28",2015,4,387667,243835,568530,87560,50188,137850,79472,0.103943900078015,0,0
"Afmadow","28",2015,4,158802,63845,260931,38616,15236,64839,32554,0.0753638345988212,0,0
"Baardheere","28",2015,4,157137,123459,181187,40628,31552,47662,32213,0.10147018565035,0,0
"Badhaadhe","28",2015,4,72076,52284,107023,17518,12428,26797,14776,0.010670030238465,0,0
"Baki","28",2015,4,67293,37090,98962,14526,7754,22078,13795,0,0,0
"Balcad","28",2015,4,192466,145844,216943,45452,32956,54846,39456,0.104680710022667,0,0
"Banadir","28",2015,4,1696677,1426538,1986959,408104,339142,480668,347819,0.223615189573242,0,0
"Bandarbeyla","28",2015,4,29134,15812,48819,7639,4043,13075,5973,0,0,0
"Baraawe","28",2015,4,84824,73351,110799,20609,17398,27559,17389,0.184140851661878,0,0
"Baydhaba","28",2015,4,391255,322941,489480,111725,91126,141312,80207,0.0654109018553402,0,0
"Belet Weyne","28",2015,4,258248,240257,284754,65751,60266,73094,52941,0.137787561829721,0,0
"Belet Xaawo","28",2015,4,84472,76514,89694,18371,16212,19944,17317,0.151109934350464,0,0
"Berbera","28",2015,4,151312,104958,179782,31171,21229,37782,31019,0.00334736072648048,0,0
"Borama","28",2015,4,654801,304276,1558649,138080,62727,335578,134234,0.000149368308679919,0,0
"Bossaso","28",2015,4,382743,111952,611669,95002,27520,153560,78462,0.104317506884552,0,0
"Bu'aale","28",2015,4,96041,79866,111322,23344,18904,27973,19688,0.110101714913263,0,0
"Bulo Burto","28",2015,4,157554,96256,232646,38285,22886,57951,32299,0.069564521942057,0,0
"Burco","28",2015,4,438769,315513,497945,99249,70468,114053,89948,0.0559559669928779,0,0
"Burtinle","28",2015,4,79202,49779,135658,20244,12437,35267,16236,0,0,0
"Buuhoodle","28",2015,4,66543,51607,85542,15758,11504,21536,13641,0,0,0
"Buur Hakaba","28",2015,4,156039,66040,201426,42815,18229,56710,31988,0.0596827869258258,0,0
"Cabudwaaq","28",2015,4,94060,46463,125706,18532,9045,25651,19282,0.119336301965283,0,0
"Cadaado","28",2015,4,90285,40080,132366,20657,9137,31161,18508,0.20834688476179,0,0
"Cadale","28",2015,4,71907,51505,88759,17473,12228,22254,14741,0.0387745309525521,0,0
"Caluula","28",2015,4,49388,45210,54108,10919,9667,12319,10125,0,0,0
"Caynabo","28",2015,4,72927,60346,109256,17291,13471,26721,14950,0.023693192986012,0,0
"Ceel Afweyn","28",2015,4,88942,33806,122871,19824,7406,28118,18233,0,0,0
"Ceel Barde","28",2015,4,55335,41242,69133,12482,9083,15778,11344,0.0507286427915694,0,0
"Ceel Buur","28",2015,4,101790,67610,144522,24187,15547,35678,20867,0.326394001034085,0,0
"Ceel Dheer","28",2015,4,103353,84007,115043,25106,20005,28759,21187,0.163008665369616,0,0
"Ceel Waaq","28",2015,4,48960,30366,66544,11900,7195,16562,10037,0.216656316941291,0,0
"Ceerigaabo","28",2015,4,211671,80829,304073,43763,16498,64021,43393,0.00394218379473036,0,0
"Dhuusamarreeb","28",2015,4,130084,77168,158129,28626,16930,35150,26667,0.245138665020873,0,0
"Diinsoor","28",2015,4,143007,109634,178683,41382,30856,52639,29316,0.0190313883228379,0,0
"Doolow","28",2015,4,51297,28560,103658,12022,6593,24453,10516,0.188564147311952,0,0
"Eyl","28",2015,4,79802,47069,127997,21689,12509,35477,16359,0,0,0
"Gaalkacyo","28",2015,4,381048,223257,646679,102806,59539,175806,78115,0.119019502245389,0,0
"Galdogob","28",2015,4,157324,49959,434784,40128,12138,115316,32251,0.000245563570991783,0,0
"Garbahaarey","28",2015,4,116518,78602,179455,28319,18570,44393,23886,0.116949057590995,0,0
"Garoowe","28",2015,4,192012,87916,251991,60186,27222,79943,39362,0.0384840610914498,0,0
"Gebiley","28",2015,4,133514,109206,155439,27448,21976,32419,27370,0,0,0
"Hargeysa","28",2015,4,1021616,831550,1365398,202308,162556,272582,209431,0.0458723172803521,0,0
"Hobyo","28",2015,4,101022,27088,155205,23533,6266,36828,20709,0.101363620339602,0,0
"Iskushuban","28",2015,4,72603,59667,102405,19209,15441,27588,14884,0,0,0
"Jalalaqsi","28",2015,4,92475,41603,150345,22454,9840,37580,18957,0.0620230827437377,0,0
"Jamaame","28",2015,4,150266,100010,186716,36503,23560,46586,30805,0.071492274540068,0,0
"Jariiban","28",2015,4,92077,54771,123796,23883,13906,32612,18876,0.00109245123350456,0,0
"Jilib","28",2015,4,157165,128742,178568,38172,30403,44939,32219,0.0457583803816816,0,0
"Jowhar","28",2015,4,296656,182937,395898,71546,39963,103879,60814,0.147237072540597,0,0
"Kismaayo","28",2015,4,173264,131117,230719,39229,29503,52951,35519,0.0607013977492002,0,0
"Kurtunwaarey","28",2015,4,208403,100414,292806,50675,23700,71812,42723,0.00567706258662812,0,0
"Laas Caanood","28",2015,4,156654,107676,260503,39240,26726,66366,32114,0.0218591665597085,0,0
"Laasqoray","28",2015,4,199720,52650,379622,44563,11439,87375,40943,0.000416288314331234,0,0
"Lughaye","28",2015,4,71904,48572,102980,15704,10344,23190,14740,0.0779523952612753,0,0
"Luuq","28",2015,4,88121,71166,101006,22993,18196,26804,18065,0.23510717318822,0,0
"Marka","28",2015,4,351999,202552,605454,85533,47697,148361,72160,0.187088198299726,0,0
"Owdweyne","28",2015,4,89826,58345,130973,17301,10820,25845,18414,0,0,0
"Qandala","28",2015,4,135039,50306,456988,34045,12320,118690,27683,0,0,0
"Qansax Dheere","28",2015,4,116907,61368,164380,35670,18667,51936,23966,0.0387985175897812,0,0
"Qardho","28",2015,4,160962,87423,260903,42405,22628,69698,32997,0.124384013460587,0,0
"Qoryooley","28",2015,4,268801,207848,315112,65287,49264,77825,55104,0.0372428166662281,0,0
"Rab Dhuure","28",2015,4,56419,38459,84157,13693,9063,20712,11566,0,0,0
"Saakow","28",2015,4,107254,80812,142982,26096,19051,35180,21987,0.0884741327574507,0,0
"Sablaale","28",2015,4,58316,23949,83760,14152,5642,20548,11955,0.0319805839189674,0,0
"Sheikh","28",2015,4,77841,54555,104514,15185,9994,21529,15957,0,0,0
"Taleex","28",2015,4,77698,36513,142892,17440,7611,33819,15928,0,0,0
"Tayeeglow","28",2015,4,93662,75254,111229,22762,17783,27829,19201,0.0977224841443388,0,0
"Waajid","28",2015,4,91521,78971,100120,34041,28923,37585,18762,0.102419041222423,0,0
"Wanla Weyn","28",2015,4,208204,115458,299271,61478,32913,90640,42682,0.126418799480472,0,0
"Xarardheere","28",2015,4,82515,51629,153292,20033,12293,37933,16916,0.24575388905291,0,0
"Xudun","28",2015,4,64849,31046,154959,17085,7806,42166,13294,0,0,0
"Xudur","28",2015,4,121736,111237,130590,37908,34032,41024,24956,0.0440718058222618,0,0
"Zeylac","28",2015,4,63528,48668,78601,13825,10280,17643,13023,0.000902985653676437,0,0
"Adan Yabaal","29",2015,5,77108,38654,123350,18709,9137,30586,15807,0,0,0
"Afgooye","29",2015,5,388419,244393,569618,87730,50303,138114,79626,0.103908170273011,0,0
"Afmadow","29",2015,5,159063,63950,261357,38679,15261,64944,32608,0.0753643068482464,0,0
"Baardheere","29",2015,5,157393,123660,181483,40694,31604,47740,32266,0.101470689422543,0,0
"Badhaadhe","29",2015,5,72194,52369,107198,17546,12448,26841,14800,0.0106726173936073,0,0
"Baki","29",2015,5,67403,37150,99124,14550,7767,22114,13818,0,0,0
"Balcad","29",2015,5,192781,146082,217298,45526,33010,54935,39520,0.1046804197116,0,0
"Banadir","29",2015,5,1702624,1433122,1991893,409534,340707,481861,349038,0.223178823191121,0,0
"Bandarbeyla","29",2015,5,29182,15838,48898,7652,4050,13097,5982,0,0,0
"Baraawe","29",2015,5,84962,73471,110980,20642,17426,27604,17417,0.184142808719704,0,0
"Baydhaba","29",2015,5,392802,324541,491351,112167,91578,141852,80524,0.0652547864876035,0,0
"Belet Weyne","29",2015,5,258670,240650,285219,65858,60364,73214,53027,0.137788449007849,0,0
"Belet Xaawo","29",2015,5,84610,76639,89840,18401,16238,19976,17345,0.151110912043008,0,0
"Berbera","29",2015,5,151559,105130,180075,31222,21263,37844,31070,0.0033487250100209,0,0
"Borama","29",2015,5,655871,304773,1561195,138305,62829,336126,134454,0.000149144193713801,0,0
"Bossaso","29",2015,5,383726,112324,612857,95246,27611,153858,78664,0.104195248771772,0,0
"Bu'aale","29",2015,5,96197,79997,111504,23382,18934,28019,19720,0.110100685220479,0,0
"Bulo Burto","29",2015,5,157811,96414,233026,38348,22924,58045,32351,0.0695651151362904,0,0
"Burco","29",2015,5,439486,316028,498759,99411,70583,114239,90095,0.0559559477107794,0,0
"Burtinle","29",2015,5,79331,49860,135880,20277,12457,35324,16263,0,0,0
"Buuhoodle","29",2015,5,66652,51691,85682,15784,11522,21572,13664,0,0,0
"Buur Hakaba","29",2015,5,156293,66148,201755,42884,18259,56803,32040,0.059682607529747,0,0
"Cabudwaaq","29",2015,5,94214,46539,125912,18563,9060,25693,19314,0.119337447976397,0,0
"Cadaado","29",2015,5,90433,40145,132582,20690,9152,31212,18539,0.208345666091379,0,0
"Cadale","29",2015,5,72025,51590,88904,17502,12248,22290,14765,0.0387751875506013,0,0
"Caluula","29",2015,5,49469,45283,54196,10936,9683,12339,10141,0,0,0
"Caynabo","29",2015,5,73046,60445,109435,17319,13493,26765,14974,0.0236892530152534,0,0
"Ceel Afweyn","29",2015,5,89087,33862,123072,19857,7418,28164,18263,0,0,0
"Ceel Barde","29",2015,5,55425,41309,69246,12503,9098,15804,11362,0.0507261259363965,0,0
"Ceel Buur","29",2015,5,101957,67720,144758,24227,15573,35737,20901,0.326392142463401,0,0
"Ceel Dheer","29",2015,5,103523,84144,115231,25147,20037,28806,21222,0.163006448387661,0,0
"Ceel Waaq","29",2015,5,49039,30415,66653,11919,7207,16589,10053,0.216661475268156,0,0
"Ceerigaabo","29",2015,5,212017,80961,304569,43835,16525,64126,43464,0.0039418025951407,0,0
"Dhuusamarreeb","29",2015,5,130296,77294,158387,28673,16958,35207,26711,0.245137453418971,0,0
"Diinsoor","29",2015,5,143240,109813,178974,41450,30906,52724,29364,0.0190317895734058,0,0
"Doolow","29",2015,5,51381,28607,103828,12042,6604,24493,10533,0.188565462521579,0,0
"Eyl","29",2015,5,79932,47146,128206,21725,12530,35535,16386,0,0,0
"Gaalkacyo","29",2015,5,381671,223622,647735,102974,59636,176093,78243,0.119018830650117,0,0
"Galdogob","29",2015,5,157581,50040,435494,40194,12158,115504,32304,0.00024520946188033,0,0
"Garbahaarey","29",2015,5,116708,78730,179748,28365,18600,44466,23925,0.116950190555498,0,0
"Garoowe","29",2015,5,192325,88059,252403,60284,27266,80074,39427,0.0384856338769369,0,0
"Gebiley","29",2015,5,133732,109384,155693,27493,22011,32472,27415,0,0,0
"Hargeysa","29",2015,5,1023582,833308,1367785,202697,162900,273059,209834,0.0458577407444881,0,0
"Hobyo","29",2015,5,101186,27132,155458,23571,6276,36888,20743,0.101362483409858,0,0
"Iskushuban","29",2015,5,72722,59765,102573,19240,15466,27633,14908,0,0,0
"Jalalaqsi","29",2015,5,92626,41671,150590,22491,9856,37642,18988,0.0620228222937133,0,0
"Jamaame","29",2015,5,150512,100173,187021,36563,23598,46662,30855,0.0714890525263714,0,0
"Jariiban","29",2015,5,92227,54860,123998,23922,13929,32665,18907,0.00109613389287084,0,0
"Jilib","29",2015,5,157421,128953,178859,38234,30453,45013,32271,0.0457566018245844,0,0
"Jowhar","29",2015,5,297140,183236,396545,71663,40029,104049,60914,0.147236868450333,0,0
"Kismaayo","29",2015,5,174431,131887,232217,39493,29677,53295,35758,0.0603974757489456,0,0
"Kurtunwaarey","29",2015,5,208744,100578,293284,50758,23739,71929,42792,0.00567794224649483,0,0
"Laas Caanood","29",2015,5,156910,107852,260929,39304,26770,66475,32167,0.0218595567641239,0,0
"Laasqoray","29",2015,5,200046,52736,380242,44636,11458,87518,41009,0.000416241537799301,0,0
"Lughaye","29",2015,5,72021,48652,103149,15729,10361,23228,14764,0.0779535260401026,0,0
"Luuq","29",2015,5,88270,71288,101174,23032,18227,26848,18095,0.235094911114431,0,0
"Marka","29",2015,5,352574,202883,606443,85673,47775,148604,72278,0.18708790599381,0,0
"Owdweyne","29",2015,5,89973,58441,131187,17329,10838,25888,18444,0,0,0
"Qandala","29",2015,5,135259,50389,457734,34100,12340,118884,27728,0,0,0
"Qansax Dheere","29",2015,5,117098,61469,164649,35728,18698,52021,24005,0.0387979669470833,0,0
"Qardho","29",2015,5,161225,87566,261329,42474,22665,69812,33051,0.124384336295555,0,0
"Qoryooley","29",2015,5,269240,208188,315627,65394,49345,77952,55194,0.0372420064429303,0,0
"Rab Dhuure","29",2015,5,56511,38522,84294,13715,9078,20746,11585,0,0,0
"Saakow","29",2015,5,107430,80944,143216,26139,19082,35238,22023,0.0884730492807541,0,0
"Sablaale","29",2015,5,58411,23989,83897,14175,5652,20582,11974,0.0319783896750749,0,0
"Sheikh","29",2015,5,77968,54644,104685,15210,10011,21564,15983,0,0,0
"Taleex","29",2015,5,77825,36572,143125,17469,7623,33874,15954,0,0,0
"Tayeeglow","29",2015,5,93815,75377,111410,22799,17812,27875,19232,0.0977211599766852,0,0
"Waajid","29",2015,5,91670,79100,100284,34096,28970,37646,18792,0.102418987472141,0,0
"Wanla Weyn","29",2015,5,208544,115647,299760,61578,32967,90789,42752,0.126419409892656,0,0
"Xarardheere","29",2015,5,82650,51714,153542,20065,12313,37995,16943,0.245760349272228,0,0
"Xudun","29",2015,5,64955,31097,155213,17113,7819,42234,13316,0,0,0
"Xudur","29",2015,5,121935,111418,130803,37970,34088,41091,24997,0.0440715368918913,0,0
"Zeylac","29",2015,5,63632,48748,78729,13848,10297,17672,13045,0.000901531447086893,0,0
"Adan Yabaal","30",2015,6,77234,38717,123552,18740,9151,30636,15833,0,0,0
"Afgooye","30",2015,6,389184,244901,570657,87903,50407,138366,79783,0.10386867627089,0,0
"Afmadow","30",2015,6,159323,64055,261785,38743,15286,65051,32661,0.0753646339423949,0,0
"Baardheere","30",2015,6,157650,123862,181779,40760,31656,47818,32318,0.101472769264449,0,0
"Badhaadhe","30",2015,6,72312,52455,107373,17575,12468,26885,14824,0.0106719466549478,0,0
"Baki","30",2015,6,67513,37211,99286,14574,7779,22150,13840,0,0,0
"Balcad","30",2015,6,193096,146321,217653,45601,33064,55025,39585,0.10467977505158,0,0
"Banadir","30",2015,6,1708869,1438349,1999407,411036,341950,483679,350318,0.222728458758488,0,0
"Bandarbeyla","30",2015,6,29230,15864,48978,7664,4057,13118,5992,0,0,0
"Baraawe","30",2015,6,85101,73591,111161,20676,17454,27649,17446,0.184143367604081,0,0
"Baydhaba","30",2015,6,394259,325798,492881,112583,91932,142294,80823,0.0651158110554387,0,0
"Belet Weyne","30",2015,6,259092,241043,285685,65966,60463,73333,53114,0.137788066116197,0,0
"Belet Xaawo","30",2015,6,84748,76764,89987,18431,16264,20009,17373,0.151111207154306,0,0
"Berbera","30",2015,6,151806,105301,180369,31273,21298,37906,31120,0.00334772133847311,0,0
