"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","500 (-400 to 1,300)","0.028 (-0.023 to 0.073)","100 (-200 to 400)","0.035 (-0.037 to 0.087)"
"Bakool","1,500 (600 to 2,100)","0.157 (0.067 to 0.220)","900 (500 to 1,300)","0.338 (0.165 to 0.458)"
"Banadir","10,700 (9,300 to 12,000)","0.194 (0.169 to 0.217)","8,800 (7,700 to 9,700)","0.611 (0.538 to 0.678)"
"Bari","-100 (-600 to 200)","-0.007 (-0.029 to 0.011)","0 (-300 to 200)","-0.004 (-0.053 to 0.034)"
"Bay","7,300 (6,000 to 8,500)","0.364 (0.296 to 0.422)","7,100 (6,000 to 8,100)","1.150 (0.959 to 1.307)"
"Galgaduud","2,200 (1,200 to 3,100)","0.143 (0.075 to 0.197)","1,100 (500 to 1,600)","0.297 (0.138 to 0.415)"
"Gedo","3,400 (2,000 to 4,500)","0.211 (0.121 to 0.279)","2,400 (1,500 to 3,100)","0.554 (0.341 to 0.716)"
"Hiraan","2,000 (700 to 2,900)","0.077 (0.027 to 0.110)","900 (300 to 1,300)","0.125 (0.042 to 0.186)"
"LowerJuba","2,900 (1,300 to 4,000)","0.199 (0.088 to 0.271)","2,000 (1,300 to 2,500)","0.528 (0.337 to 0.656)"
"LowerShabelle","2,900 (-1,100 to 5,500)","0.113 (-0.044 to 0.212)","1,400 (-200 to 2,400)","0.200 (-0.026 to 0.343)"
"MiddleJuba","0 (-900 to 600)","0.000 (-0.113 to 0.070)","0 (-300 to 100)","-0.015 (-0.152 to 0.067)"
"MiddleShabelle","1,700 (-300 to 3,100)","0.127 (-0.021 to 0.230)","1,200 (200 to 1,900)","0.358 (0.058 to 0.550)"
"Mudug","700 (100 to 1,200)","0.041 (0.008 to 0.066)","400 (100 to 600)","0.077 (0.017 to 0.120)"
"Nugaal","-200 (-400 to -100)","-0.026 (-0.050 to -0.006)","-100 (-300 to 0)","-0.049 (-0.101 to -0.007)"
"Sanaag","-100 (-900 to 500)","-0.014 (-0.083 to 0.045)","0 (-300 to 200)","0.001 (-0.106 to 0.078)"
"Sool","-200 (-500 to 100)","-0.021 (-0.072 to 0.015)","0 (-200 to 100)","-0.014 (-0.098 to 0.041)"
"Togdheer","-100 (-700 to 300)","-0.009 (-0.049 to 0.022)","-100 (-300 to 100)","-0.021 (-0.091 to 0.028)"
"WoqooyiGalbeed","-1,200 (-1,800 to -700)","-0.043 (-0.063 to -0.023)","-200 (-400 to 0)","-0.029 (-0.060 to -0.003)"
"Total","33,900 (13,400 to 49,000)","NA (NA to NA)","25,900 (15,600 to 33,500)","NA (NA to NA)"
