"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-1,500 (-1,600 to -1,500)","-0.097 (-0.099 to -0.095)","-100 (-100 to -100)","-0.034 (-0.039 to -0.026)"
"Bakool","0 (0 to 300)","0.001 (-0.004 to 0.034)","100 (0 to 300)","0.028 (0.009 to 0.115)"
"Banadir","-1,800 (-2,000 to -1,500)","-0.038 (-0.042 to -0.033)","2,100 (1,800 to 2,700)","0.177 (0.149 to 0.226)"
"Bari","-100 (-100 to -100)","-0.008 (-0.008 to -0.007)","200 (200 to 300)","0.056 (0.051 to 0.060)"
"Bay","700 (600 to 1,100)","0.038 (0.031 to 0.057)","1,900 (1,600 to 2,800)","0.331 (0.283 to 0.479)"
"Galgaduud","0 (-100 to 0)","-0.003 (-0.005 to -0.003)","200 (200 to 200)","0.063 (0.056 to 0.067)"
"Gedo","-700 (-700 to -400)","-0.038 (-0.041 to -0.023)","200 (100 to 500)","0.039 (0.015 to 0.098)"
"Hiraan","-700 (-800 to -600)","-0.023 (-0.027 to -0.020)","-100 (-200 to 0)","-0.013 (-0.023 to 0.001)"
"LowerJuba","-400 (-500 to -100)","-0.030 (-0.034 to -0.006)","300 (200 to 600)","0.090 (0.061 to 0.171)"
"LowerShabelle","-200 (-300 to -100)","-0.010 (-0.015 to -0.004)","400 (300 to 500)","0.068 (0.052 to 0.089)"
"MiddleJuba","-100 (-100 to -100)","-0.014 (-0.018 to -0.013)","-100 (-100 to 0)","-0.026 (-0.038 to -0.013)"
"MiddleShabelle","-200 (-300 to -100)","-0.019 (-0.022 to -0.012)","400 (300 to 500)","0.120 (0.100 to 0.174)"
"Mudug","-100 (-100 to 0)","-0.007 (-0.008 to 0.000)","100 (100 to 200)","0.015 (0.011 to 0.035)"
"Nugaal","-200 (-200 to -200)","-0.025 (-0.026 to -0.023)","0 (0 to 100)","0.015 (0.008 to 0.026)"
"Sanaag","-200 (-200 to 100)","-0.018 (-0.020 to 0.014)","100 (100 to 300)","0.069 (0.062 to 0.122)"
"Sool","-200 (-200 to -200)","-0.027 (-0.032 to -0.022)","0 (-100 to 0)","-0.023 (-0.038 to -0.013)"
"Togdheer","-100 (-300 to 0)","-0.006 (-0.026 to -0.002)","100 (0 to 100)","0.022 (-0.013 to 0.031)"
"WoqooyiGalbeed","-800 (-1,300 to -700)","-0.033 (-0.052 to -0.027)","100 (-100 to 100)","0.010 (-0.010 to 0.020)"
"Total","-6,600 (-8,200 to -4,100)","NA (NA to NA)","5,900 (4,400 to 8,900)","NA (NA to NA)"
