"","date","variable","spi3","district"
"89",1989-05-01,"spi",0.655158713372102,"adanyabaal"
"90",1989-06-01,"spi",-0.414017100440726,"adanyabaal"
"91",1989-07-01,"spi",-1.02639164182241,"adanyabaal"
"92",1989-08-01,"spi",-0.150598418759083,"adanyabaal"
"93",1989-09-01,"spi",-0.676043757422754,"adanyabaal"
"94",1989-10-01,"spi",-0.760157411524674,"adanyabaal"
"95",1989-11-01,"spi",-0.185359433935167,"adanyabaal"
"96",1989-12-01,"spi",-0.800324087294194,"adanyabaal"
"97",1990-01-01,"spi",0.412041944855861,"adanyabaal"
"98",1990-02-01,"spi",-0.702189875425869,"adanyabaal"
"99",1990-03-01,"spi",0.199936671315525,"adanyabaal"
"100",1990-04-01,"spi",0.879470740351995,"adanyabaal"
"101",1990-05-01,"spi",0.421216690585718,"adanyabaal"
"102",1990-06-01,"spi",1.29481186065168,"adanyabaal"
"103",1990-07-01,"spi",-0.152747296268618,"adanyabaal"
"104",1990-08-01,"spi",0.219258415225713,"adanyabaal"
"105",1990-09-01,"spi",-0.13777607228403,"adanyabaal"
"106",1990-10-01,"spi",-1.1602750071217,"adanyabaal"
"107",1990-11-01,"spi",-0.329869713226587,"adanyabaal"
"108",1990-12-01,"spi",-1.33248572413971,"adanyabaal"
"109",1991-01-01,"spi",-0.852936852654172,"adanyabaal"
"110",1991-02-01,"spi",0.312663582744324,"adanyabaal"
"111",1991-03-01,"spi",-0.292073053523621,"adanyabaal"
"112",1991-04-01,"spi",1.2617818819694,"adanyabaal"
"113",1991-05-01,"spi",-0.138396132924024,"adanyabaal"
"114",1991-06-01,"spi",0.541787315017436,"adanyabaal"
"115",1991-07-01,"spi",-1.3930870628969,"adanyabaal"
"116",1991-08-01,"spi",-2.77639577525928,"adanyabaal"
"117",1991-09-01,"spi",-0.265691173900549,"adanyabaal"
"118",1991-10-01,"spi",-0.454141690451043,"adanyabaal"
"119",1991-11-01,"spi",0.218160799690865,"adanyabaal"
"120",1991-12-01,"spi",0.768775133453964,"adanyabaal"
"121",1992-01-01,"spi",0.3993734469699,"adanyabaal"
"122",1992-02-01,"spi",0.672006907402495,"adanyabaal"
"123",1992-03-01,"spi",-0.810138666809246,"adanyabaal"
"124",1992-04-01,"spi",-0.23108334467187,"adanyabaal"
"125",1992-05-01,"spi",-0.0737235964036596,"adanyabaal"
"126",1992-06-01,"spi",-0.874403964519201,"adanyabaal"
"127",1992-07-01,"spi",-0.197374758570785,"adanyabaal"
"128",1992-08-01,"spi",-0.706356542064625,"adanyabaal"
