"Counties","Actual Toll (Overall)","Actual Death Rate (Overall)","Actual Toll (Under 5)","Actual Death Rate (Under 5)"
NA,"16,000 (11,700 to 21,400)","0.434 (0.318 to 0.579)","2,400 (1,200 to 4,400)","0.285 (0.143 to 0.518)"
NA,"5,800 (3,100 to 10,300)","0.323 (0.176 to 0.580)","2,400 (1,100 to 4,900)","0.461 (0.205 to 0.923)"
NA,"65,200 (58,800 to 72,300)","0.594 (0.536 to 0.659)","34,400 (29,600 to 39,700)","1.213 (1.043 to 1.401)"
NA,"6,700 (4,700 to 9,400)","0.175 (0.123 to 0.247)","3,200 (2,000 to 4,900)","0.306 (0.190 to 0.478)"
NA,"22,800 (18,000 to 29,000)","0.581 (0.459 to 0.740)","14,400 (10,800 to 19,200)","1.201 (0.902 to 1.596)"
NA,"13,500 (9,200 to 19,700)","0.432 (0.295 to 0.633)","4,900 (2,700 to 8,500)","0.655 (0.365 to 1.127)"
NA,"14,800 (9,800 to 22,700)","0.477 (0.314 to 0.732)","7,000 (4,000 to 11,700)","0.849 (0.486 to 1.415)"
NA,"16,100 (11,600 to 23,900)","0.329 (0.237 to 0.487)","7,800 (5,600 to 11,200)","0.587 (0.422 to 0.843)"
NA,"12,000 (7,100 to 21,100)","0.410 (0.244 to 0.722)","5,500 (3,300 to 9,400)","0.741 (0.444 to 1.279)"
NA,"19,600 (7,200 to 44,400)","0.393 (0.143 to 0.890)","7,300 (2,500 to 16,800)","0.549 (0.190 to 1.271)"
NA,"4,700 (1,400 to 11,700)","0.282 (0.085 to 0.705)","1,600 (500 to 4,000)","0.371 (0.109 to 0.929)"
NA,"10,600 (4,200 to 22,700)","0.404 (0.161 to 0.861)","5,000 (1,700 to 11,400)","0.730 (0.253 to 1.675)"
NA,"5,700 (3,500 to 9,200)","0.164 (0.100 to 0.265)","2,100 (1,000 to 4,000)","0.217 (0.107 to 0.407)"
NA,"3,800 (2,900 to 5,100)","0.221 (0.165 to 0.292)","2,000 (1,300 to 3,100)","0.374 (0.240 to 0.564)"
NA,"10,300 (7,000 to 14,700)","0.481 (0.329 to 0.687)","2,100 (1,000 to 4,000)","0.425 (0.199 to 0.803)"
NA,"3,200 (1,600 to 5,800)","0.221 (0.112 to 0.400)","1,000 (400 to 2,300)","0.275 (0.102 to 0.606)"
NA,"9,100 (6,400 to 13,100)","0.306 (0.216 to 0.441)","2,200 (1,200 to 4,000)","0.315 (0.167 to 0.565)"
NA,"17,800 (14,700 to 21,300)","0.313 (0.258 to 0.375)","2,400 (1,500 to 3,700)","0.196 (0.121 to 0.303)"
"Total","257,600 (183,000 to 377,800)","6.542 (4.272 to 10.295)","107,800 (71,400 to 167,200)","9.749 (5.688 to 16.703)"
