"Counties","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
NA,"-4,200 (-8,600 to -400)","-0.046 (-0.093 to -0.004)","-500 (-2,000 to 600)","-0.025 (-0.095 to 0.028)"
NA,"2,600 (-500 to 4,700)","0.061 (-0.011 to 0.112)","1,700 (100 to 2,700)","0.132 (0.007 to 0.217)"
NA,"21,200 (14,700 to 27,200)","0.080 (0.055 to 0.102)","21,800 (16,400 to 26,700)","0.317 (0.239 to 0.389)"
NA,"-100 (-2,200 to 1,700)","-0.001 (-0.024 to 0.018)","700 (-700 to 1,900)","0.028 (-0.029 to 0.073)"
NA,"15,700 (11,300 to 19,500)","0.169 (0.122 to 0.210)","17,100 (13,600 to 20,100)","0.602 (0.479 to 0.706)"
NA,"5,200 (500 to 8,800)","0.070 (0.007 to 0.119)","2,900 (300 to 4,800)","0.161 (0.019 to 0.267)"
NA,"6,600 (1,000 to 10,900)","0.086 (0.013 to 0.142)","5,400 (2,200 to 7,900)","0.264 (0.105 to 0.384)"
NA,"4,700 (-800 to 8,500)","0.040 (-0.007 to 0.073)","2,800 (200 to 4,700)","0.088 (0.005 to 0.150)"
NA,"3,500 (-2,700 to 7,500)","0.048 (-0.037 to 0.102)","3,500 (800 to 5,300)","0.190 (0.045 to 0.289)"
NA,"7,200 (-9,700 to 18,200)","0.057 (-0.077 to 0.144)","4,500 (-2,200 to 8,800)","0.135 (-0.066 to 0.262)"
NA,"200 (-4,600 to 3,200)","0.006 (-0.109 to 0.076)","100 (-1,600 to 1,100)","0.010 (-0.141 to 0.102)"
NA,"3,200 (-5,100 to 8,900)","0.049 (-0.077 to 0.134)","3,200 (-1,100 to 6,000)","0.188 (-0.063 to 0.350)"
NA,"800 (-1,900 to 2,800)","0.009 (-0.022 to 0.032)","900 (-500 to 1,900)","0.038 (-0.019 to 0.079)"
NA,"-1,200 (-2,200 to -400)","-0.030 (-0.054 to -0.009)","-200 (-1,000 to 500)","-0.015 (-0.080 to 0.037)"
NA,"-400 (-3,900 to 2,600)","-0.007 (-0.073 to 0.048)","500 (-900 to 1,500)","0.039 (-0.076 to 0.122)"
NA,"-400 (-2,400 to 1,100)","-0.010 (-0.062 to 0.030)","100 (-900 to 700)","0.005 (-0.087 to 0.066)"
NA,"-1,700 (-4,700 to 600)","-0.024 (-0.065 to 0.008)","-600 (-1,900 to 300)","-0.037 (-0.110 to 0.016)"
NA,"-3,400 (-6,500 to -500)","-0.024 (-0.046 to -0.003)","-400 (-1,500 to 500)","-0.013 (-0.049 to 0.016)"
"Total","59,500 (-28,200 to 125,100)","NA (NA to NA)","63,500 (19,400 to 95,900)","NA (NA to NA)"
